"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"	"series"	"title1"	"rn"	"to_rating"	"sh"	"bb"
"285"	285	285	"The Great Gatsby"	"WB"	351	144.8	206.2	2013	"Drama"	"PG-13"	3550	7.3	"Drama"	""	50.1	143	15	"Baz Luhrmann"	""	"Lisa Adam"	"Frank Aldridge"	"ns"	105	0	"thegreatgatsby"	0	0	0	1.38
"286"	286	286	"Speed"	"Fox"	350.4	121.2	229.2	1994	"Action Thriller"	"R"	2169	7.2	"Action"	"Thriller"	NA	116	NA	"Jan de Bont"	""	"Keanu Reeves"	"Dennis Hopper"	"ss"	30	0	"speed"	60	82	0	4.04
"287"	287	287	"Dinosaur"	"BV"	349.8	137.7	212.1	2000	"Animation"	"PG"	NA	6.4	"Animation"	""	NA	82	NA	"Eric Leighton"	"Ralph Zondag"	"D.B. Sweeney"	"Alfre Woodard"	"ns"	127.5	0	"dinosaur"	122	53	0	1.08
"288"	288	288	"Deep Impact"	"Par."	349.5	140.5	209	1998	"Action Drama"	"PG-13"	NA	6.1	"Action"	"Drama"	NA	120	NA	"Mimi Leder"	""	"Robert Duvall"	"T¨¦a Leoni"	"ns"	NA	0	"deepimpact"	52	36	0	NA
"289"	289	289	"Dr. Seuss' The Lorax"	"Uni."	348.8	214	134.8	2012	"Animation"	"PG"	3769	6.5	"Animation"	""	70.2	95	21	"Chris Renaud"	"Kyle Balda"	"Danny DeVito"	"Ed Helms"	"ns"	70	0	"dr.seuss'thelorax"	0	0	0	3.06
"290"	290	290	"The Maze Runner"	"Fox"	348.3	102.4	245.9	2014	"Sci-Fi Thriller"	"PG-13"	3638	6.8	"Sci-Fi"	"Thriller"	32.5	113	20	"Wes Ball"	""	"Dylan O'Brien"	"Aml Ameen"	"ns"	34	0	"themazerunner"	0	0	0	3.01
"291"	291	291	"The Smurfs 2"	"Sony"	347.5	71	276.5	2013	"Family Comedy"	"PG"	3867	5.4	"Family"	"Comedy"	17.5	105	15.7	"Raja Gosnell"	""	"Hank Azaria"	"Neil Patrick Harris"	"ss"	105	1	"thesmurfs2"	0	0	0	0.68
"292"	292	292	"National Treasure"	"BV"	347.5	173	174.5	2004	"Adventure"	"PG"	3243	6.9	"Adventure"	""	35.1	131	28	"Jon Turteltaub"	""	"Nicolas Cage"	"Diane Kruger"	"ns"	100	0	"nationaltreasure"	0	0	0	1.73
"293"	293	293	"Rush Hour 2"	"NL"	347.3	226.2	121.2	2001	"Action Comedy"	"PG-13"	NA	6.6	"Action"	"Comedy"	NA	90	NA	"Brett Ratner"	""	"Jackie Chan"	"Chris Tucker"	"ss"	90	1	"rushhour2"	0	0	0	2.51
"294"	294	294	"I Robot"	"Fox"	347.2	144.8	202.4	2004	"Sci-Fi Thriller"	"PG-13"	3494	7.1	"Sci-Fi"	"Thriller"	52.2	105	24	"Alex Proyas"	""	"Will Smith"	"Bridget Moynahan"	"ss"	120	0	"irobot"	0	0	0	1.21
"295"	295	295	"Pocahontas"	"BV"	346.1	141.6	204.5	1995	"Animation"	"G"	NA	6.6	"Animation"	""	NA	81	NA	"Mike Gabriel"	"Eric Goldberg"	"Irene Bedard"	"Judy Kuhn"	"ss"	NA	0	"pocahontas"	52	44	0	NA
"296"	296	296	"How the Grinch Stole Christmas"	"Uni."	345.1	260	85.1	2000	"Family Comedy"	"PG"	3256	6	"Family"	"Comedy"	55.1	104	15	"Ron Howard"	""	"Jim Carrey"	"Taylor Momsen"	"ns"	123	0	"howthegrinchstolechristmas"	130	41	0	2.11
"297"	297	297	"Alvin and the Chipmunks: Chipwrecked"	"Fox"	342.7	133.1	209.6	2011	"Family Comedy"	"G"	NA	4.4	"Family"	"Comedy"	NA	87	NA	"Mike Mitchell"	""	"Jason Lee"	"David Cross"	"hs"	75	1	"alvinandthechipmunks:chipwrecked"	0	0	0	1.77
"298"	298	298	"The Flintstones"	"Uni."	341.6	130.5	211.1	1994	"Family Comedy"	"PG"	NA	7.5	"Family"	"Comedy"	NA	91	NA	"Joseph Barbera"	"William Hanna"	"Jean Vander Pyl"	"Alan Reed"	"ss"	46	0	"theflintstones"	42	12	0	2.84
"299"	299	299	"Wanted"	"Uni."	341.4	134.5	206.9	2008	"AA"	"R"	3185	6.7	"AA"	""	NA	108	NA	"Timur Bekmambetov"	""	"James McAvoy"	"Morgan Freeman"	"ss"	75	0	"wanted"	47	76	0	1.79
"300"	300	300	"Enchanted"	"BV"	340.5	127.8	212.7	2007	"Family Adventure"	"PG"	3730	7.1	"Family"	"Adventure"	34.4	107	16.3	"Kevin Lima"	""	"Amy Adams"	"Patrick Dempsey"	"hs"	85	0	"enchanted"	187	82	0	1.5
"301"	301	301	"300: Rise of An Empire"	"WB"	337.6	106.6	231	2014	"Period Action"	"R"	3490	6.3	"Period"	"Action"	45	102	12	"Noam Murro"	""	"Sullivan Stapleton"	"Eva Green"	"ns"	110	1	"300:riseofanempire"	0	0	0	0.97
"302"	302	302	"Batman Forever"	"WB"	336.5	184	152.5	1995	"AA"	"PG-13"	2893	5.4	"AA"	""	52.8	122	21	"Joel Schumacher"	""	"Val Kilmer"	"Tommy Lee Jones"	"ss"	100	0	"batmanforever"	58	30	2	1.84
"303"	303	303	"Prince of Persia: The Sands of Time"	"BV"	336.4	90.8	245.6	2010	"Adventure"	"PG-13"	3646	6.6	"Adventure"	""	30.1	115	17	"Mike Newell"	""	"Jake Gyllenhaal"	"Gemma Arterton"	"ss"	200	1	"princeofpersia:thesandsoftime"	0	0	0	0.45
"304"	304	304	"Over the Hedge"	"P/DW"	336	155	181	2006	"Animation"	"PG"	4093	6.8	"Animation"	""	38.5	87	16	"Tim Johnson"	"Karey Kirkpatrick"	"Bruce Willis"	"Garry Shandling"	"ns"	NA	0	"overthehedge"	168	63	0	NA
"305"	305	305	"Journey 2: The Mysterious Island"	"WB (NL)"	335.3	103.9	231.4	2012	"Adventure"	"PG"	3500	5.8	"Adventure"	""	27.3	94	20	"Brad Peyton"	""	"Dwayne Johnson"	"Michael Caine"	"ns"	79	1	"journey2:themysteriousisland"	0	0	0	1.32
"306"	306	306	"The Rock"	"BV"	335.1	134.1	201	1996	"Action"	"R"	2426	7.4	"Action"	""	25.1	136	26	"Michael Bay"	""	"Sean Connery"	"Nicolas Cage"	"ss"	75	0	"therock"	57	49	0	1.79
"307"	307	307	"The Curious Case of Benjamin Button"	"Par."	333.9	127.5	206.4	2008	"Fantasy Drama"	"PG-13"	2988	7.8	"Fantasy"	"Drama"	26.9	168	17.1	"David Fincher"	""	"Cate Blanchett"	"Brad Pitt"	"hs"	150	0	"thecuriouscaseofbenjaminbutton"	238	60	0	0.85
"308"	308	308	"Indiana Jones and the Temple of Doom"	"Par."	333.1	179.9	153.2	1984	"Period Adventure"	"PG"	1687	7.6	"Period"	"Adventure"	NA	118	NA	"Steven Spielberg"	""	"Harrison Ford"	"Kate Capshaw"	"ss"	28	0	"indianajonesandthetempleofdoom"	0	0	0	6.42
"309"	309	309	"Tomorrow Never Dies"	"MGM"	333	125.3	207.7	1997	"Action"	"PG-13"	NA	6.5	"Action"	""	NA	119	NA	"Roger Spottiswoode"	""	"Pierce Brosnan"	"Jonathan Pryce"	"hs"	NA	0	"tomorrowneverdies"	82	45	0	NA
"310"	310	310	"Back to the Future Part II"	"Uni."	332	118.5	213.5	1989	"Sci-Fi Adventure"	"PG"	NA	7.8	"Sci-Fi"	"Adventure"	NA	108	NA	"Robert Zemeckis"	""	"Michael J. Fox"	"Christopher Lloyd"	"hs"	40	1	"backtothefuturepartii"	60	51	0	2.96
"311"	311	311	"22 Jump Street"	"Sony"	331.3	191.7	139.6	2014	"Action Comedy"	"R"	3426	7.1	"Action"	"Comedy"	57.1	112	22.4	"Phil Lord"	"Christopher Miller"	"Jonah Hill"	"Channing Tatum"	"ss"	50	0	"22jumpstreet"	196	74	0	3.83
"312"	312	312	"Fantastic Four"	"Fox"	330.6	154.7	175.9	2005	"AA"	"PG-13"	3619	5.7	"AA"	""	56.1	123	25	"Tim Story"	""	"Ioan Gruffudd"	"Jessica Alba"	"ss"	100	0	"fantasticfour"	0	0	4	1.55
"313"	313	313	"Meet the Parents"	"Uni."	330.4	166.2	164.2	2000	"Comedy"	"PG-13"	2697	7	"Comedy"	""	28.6	108	25	"Jay Roach"	""	"Robert De Niro"	"Ben Stiller"	"ns"	55	0	"meettheparents"	146	73	0	3.02
"314"	314	314	"Who Framed Roger Rabbit"	"BV"	329.8	156.5	173.4	1988	"Fantasy Comedy"	"PG"	NA	7.7	"Fantasy"	"Comedy"	NA	103	NA	"Robert Zemeckis"	""	"Bob Hoskins"	"Christopher Lloyd"	"ss"	70	0	"whoframedrogerrabbit"	61	86	0	2.24
"315"	315	315	"Black Swan"	"FoxS"	329.4	107	222.4	2010	"Drama / Thriller"	"R"	NA	8	"Drama"	"Thriller"	NA	103	NA	"Darren Aronofsky"	""	"Natalie Portman"	"Mila Kunis"	"hs"	13	0	"blackswan"	275	75	0	8.23
"316"	316	316	"The Perfect Storm"	"WB"	328.7	182.6	146.1	2000	"Action Drama"	"PG-13"	NA	6.4	"Action"	"Drama"	NA	129	NA	"Wolfgang Petersen"	""	"George Clooney"	"Mark Wahlberg"	"ss"	140	0	"theperfectstorm"	0	0	0	1.3
"317"	317	317	"Crocodile Dundee"	"Par."	328.2	174.8	153.4	1986	"Adventure Comedy"	"PG-13"	NA	6.5	"Adventure"	"Comedy"	NA	93	NA	"Peter Faiman"	""	"Paul Hogan"	"Linda Kozlowski"	"ns"	NA	0	"crocodiledundee"	0	0	0	NA
"318"	318	318	"Seven"	"NL"	327.3	100.1	227.2	1995	"Thriller"	"R"	2528	8.6	"Thriller"	""	NA	127	NA	"David Fincher"	""	"Morgan Freeman"	"Andrew Kevin Walker"	"ns"	33	0	"seven"	69	69	0	3.03
"319"	319	319	"The Devil Wears Prada"	"Fox"	326.6	124.7	201.8	2006	"Comedy"	"PG-13"	2882	6.8	"Comedy"	""	27.5	106	24	"David Frankel"	""	"Meryl Streep"	"Anne Hathaway"	"ss"	35	0	"thedevilwearsprada"	187	63	0	3.56
"320"	320	320	"Taken 3"	"Fox"	326.5	89.3	237.2	2015	"Action"	"PG-13"	3594	6	"Action"	""	39.2	109	18	"Olivier Megaton"	""	"Liam Neeson"	"Forest Whitaker"	"ns"	48	1	"taken3"	0	0	0	1.86
"321"	321	321	"The Hunchback of Notre Dame"	"BV"	325.3	100.1	225.2	1996	"Animation"	"G"	NA	6.9	"Animation"	""	NA	91	NA	"Gary Trousdale"	"Kirk Wise"	"Jason Alexander"	"Tom Hulce"	"ss"	100	0	"thehunchbackofnotredame"	52	61	0	1
"322"	322	322	"A Christmas Carol"	"BV"	325.3	137.9	187.4	2009	"Animation"	"PG"	3683	NA	"Animation"	""	30.1	96	13	"James Barratt"	""	"James Barratt"	"Tom Hulce"	"ns"	200	0	"achristmascarol"	0	0	0	0.69
"323"	323	323	"The SpongeBob Movie: Sponge Out of Water"	"Par."	323.4	163	160.4	2015	"Animation"	"PG"	3680	6	"Animation"	""	55.4	93	16	"Paul Tibbitt"	"Mike Mitchell"	"Antonio Banderas"	"Eric Bauza"	"ns"	74	1	"thespongebobmovie:spongeoutofwater"	0	0	0	2.2
"324"	324	324	"Megamind"	"P/DW"	321.9	148.4	173.5	2010	"Animation"	"PG"	3949	7.3	"Animation"	""	46	96	16	"Tom McGrath"	""	"Will Ferrell"	"Brad Pitt"	"ns"	130	0	"megamind"	0	0	0	1.14
"325"	325	325	"Lethal Weapon 3"	"WB"	321.7	144.7	177	1992	"Action Comedy"	"R"	2568	6.7	"Action"	"Comedy"	NA	118	NA	"Richard Donner"	""	"Mel Gibson"	"Danny Glover"	"ns"	35	1	"lethalweapon3"	43	44	0	4.13
"326"	326	326	"Robin Hood"	"Uni."	321.7	105.3	216.4	2010	"Period Adventure"	"PG-13"	3505	6.7	"Period"	"Adventure"	36.1	148	12	"Ridley Scott"	""	"Russell Crowe"	"Cate Blanchett"	"ns"	200	0	"robinhood"	52	38	0	0.53
"327"	327	327	"Inglourious Basterds"	"Wein."	321.5	120.5	200.9	2009	"War"	"R"	3358	8.3	"War"	""	38.1	152	17	"Quentin Tarantino"	"Eli Roth"	"Brad Pitt"	"M¨¦lanie Laurent"	"ss"	70	0	"inglouriousbasterds"	299	78	0	1.72
"328"	328	328	"Schindler's List"	"Uni."	321.3	96.1	225.2	1993	"War Drama"	"R"	NA	8.9	"War"	"Drama"	NA	194	NA	"Steven Spielberg"	""	"Liam Neeson"	"Ben Kingsley"	"hs"	22	0	"schindler'slist"	85	85	0	4.37
"329"	329	329	"101 Dalmatians"	"BV"	320.7	136.2	184.5	1996	"Family Comedy"	"G"	NA	7	"Family"	"Comedy"	NA	103	NA	"Dominik Sedlar"	"Jakov Sedlar"	"Rick Adamson"	"Martin Sheen"	"hs"	NA	0	"101dalmatians"	0	0	0	NA
"330"	330	330	"Fatal Attraction"	"Par."	320.1	156.6	163.5	1987	"Thriller"	"R"	NA	6.9	"Thriller"	""	NA	123	NA	"Adrian Lyne"	""	"Michael Douglas"	"Glenn Close"	"ns"	NA	0	"fatalattraction"	0	0	0	NA
"331"	331	331	"The Last Airbender"	"Par."	319.7	131.8	187.9	2010	"Fantasy"	"PG"	3203	4.2	"Fantasy"	""	NA	103	NA	"M. Night Shyamalan"	""	"Noah Ringer"	"Dev Patel"	"ss"	150	0	"thelastairbender"	0	0	0	0.88
"332"	332	332	"The Conjuring"	"WB (NL)"	318	137.4	180.6	2013	"Horror"	"R"	3115	7.5	"Horror"	""	41.9	112	15	"James Wan"	""	"Vera Farmiga"	"Patrick Wilson"	"ss"	20	0	"theconjuring"	199	75	0	6.87
"333"	333	333	"The Proposal"	"BV"	317.4	164	153.4	2009	"Romantic Comedy"	"PG-13"	3158	6.7	"Romantic"	"Comedy"	33.6	108	20	"Anne Fletcher"	""	"Sandra Bullock"	"Ryan Reynolds"	"ss"	40	0	"theproposal"	0	0	0	4.1
"334"	334	334	"Beverly Hills Cop"	"Par."	316.4	234.8	81.6	1984	"Action Comedy"	"R"	NA	7.3	"Action"	"Comedy"	NA	105	NA	"Martin Brest"	""	"Eddie Murphy"	"Judge Reinhold"	"hs"	NA	0	"beverlyhillscop"	49	1	0	NA
"335"	335	335	"Air Force One"	"Sony"	315.2	173	142.2	1997	"Action Thriller"	"R"	2981	6.4	"Action"	"Thriller"	NA	124	NA	"Wolfgang Petersen"	""	"Harrison Ford"	"Gary Oldman"	"ss"	85	0	"airforceone"	53	67	0	2.04
"336"	336	336	"Chicken Little"	"BV"	314.4	135.4	179	2005	"Animation"	"G"	3658	5.8	"Animation"	""	40	81	23	"Mark Dindal"	""	"Zach Braff"	"Garry Marshall"	"ns"	150	0	"chickenlittle"	0	0	0	0.9
"337"	337	337	"As Good as It Gets"	"Sony"	314.2	148.5	165.7	1997	"Romantic Comedy"	"PG"	NA	7.7	"Romantic"	"Comedy"	NA	139	NA	"James L. Brooks"	""	"Jack Nicholson"	"Helen Hunt"	"hs"	NA	0	"asgoodasitgets"	76	75	0	NA
"338"	338	338	"A Beautiful Mind"	"Uni."	313.5	170.7	142.8	2001	"Period Drama"	"PG-13"	1837	8.2	"Period"	"Drama"	NA	136	NA	"Ron Howard"	""	"Russell Crowe"	"Ed Harris"	"hs"	50	0	"abeautifulmind"	204	63	0	3.41
"339"	339	339	"The Good Dinosaur"	"BV"	313.3	122	191.3	2015	"Animation"	"PG-13"	NA	6.9	"Animation"	""	NA	100	NA	"Peter Sohn"	""	"Jeffrey Wright"	"Frances McDormand"	"hs"	58	0	"thegooddinosaur"	0	0	0	2.1
"340"	340	340	"Maze Runner: The Scorch Trials"	"Fox"	312.3	81.7	230.6	2015	"AA"	"PG"	NA	6.4	"AA"	""	NA	131	NA	"Wes Ball"	""	"Dylan O'Brien"	"Ki Hong Lee"	"ns"	NA	1	"mazerunner:thescorchtrials"	0	0	0	NA
"341"	341	341	"Austin Powers: The Spy Who Shagged Me"	"NL"	312	206	106	1999	"Comedy"	"PG-13"	3792	6.6	"Comedy"	""	30.3	95	18	"Jay Roach"	""	"Mike Myers"	"Heather Graham"	"ss"	61	1	"austinpowers:thespywhoshaggedme"	85	39	0	3.38
"342"	342	342	"Ocean's Thirteen"	"WB"	311.3	117.2	194.2	2007	"Crime Comedy"	"PG-13"	NA	6.9	"Crime"	"Comedy"	NA	113	NA	"Steven Soderbergh"	""	"George Clooney"	"Brad Pitt"	"ss"	33	0	"ocean'sthirteen"	0	0	0	3.55
"343"	343	343	"Little Fockers"	"Uni."	310.7	148.4	162.2	2010	"Comedy"	"PG-13"	3565	5.5	"Comedy"	""	36.1	98	15	"Paul Weitz"	""	"Robert De Niro"	"Ben Stiller"	"hs"	NA	0	"littlefockers"	0	0	0	NA
"344"	344	344	"Bolt"	"BV"	310	114.1	195.9	2008	"Animation"	"PG-13"	3675	6.9	"Animation"	""	30.8	96	12.3	"Byron Howard"	"Chris Williams"	"John Travolta"	"Miley Cyrus"	"hs"	100	0	"bolt"	177	78	0	1.14
"345"	345	345	"Ransom"	"BV"	309.5	136.5	173	1996	"Thriller"	"PG"	3654	6.6	"Thriller"	""	26.2	121	14	"Ron Howard"	""	"Mel Gibson"	"Rene Russo"	"ns"	150	0	"ransom"	69	63	0	0.91
"346"	346	346	"Runaway Bride"	"Par."	309.5	152.3	157.2	1999	"Romantic Comedy"	"R"	2768	5.4	"Romantic"	"Comedy"	NA	116	NA	"Garry Marshall"	""	"Julia Roberts"	"Richard Gere"	"ss"	NA	0	"runawaybride"	0	0	0	NA
"347"	347	347	"The Blind Side"	"WB"	309.2	256	53.2	2009	"Sports Drama"	"PG"	3240	7.7	"Sports"	"Drama"	NA	126	NA	"John Lee Hancock"	""	"Sandra Bullock"	"Tim McGraw"	"hs"	70	0	"theblindside"	0	0	0	3.66
"348"	348	348	"The Polar Express"	"WB"	307.5	183.4	124.1	2004	"Animation"	"PG-13"	3407	6.6	"Animation"	""	34.1	100	28	"Robert Zemeckis"	""	"Tom Hanks"	"Leslie Zemeckis"	"ns"	29	0	"thepolarexpress"	0	0	0	6.32
"349"	349	349	"The Fault in our Stars"	"Fox"	307.2	124.9	182.3	2014	"Drama"	"G"	3650	7.9	"Drama"	""	23.3	125	17.3	"Josh Boone"	""	"Shailene Woodley"	"Ansel Elgort"	"ss"	165	0	"thefaultinourstars"	0	0	0	0.76
"350"	350	350	"The Pursuit of Happyness"	"Sony"	307.1	163.6	143.5	2006	"Drama"	"PG-13"	3340	7.9	"Drama"	""	48	116	18	"Gabriele Muccino"	""	"Will Smith"	"Jaden Smith"	"hs"	12	0	"thepursuitofhappyness"	0	0	0	13.63
"351"	351	351	"Rise of the Guardians"	"P/DW"	306.9	103.4	203.5	2012	"Animation"	"PG-13"	3169	7.3	"Animation"	""	26.5	97	13.4	"Peter Ramsey"	""	"Chris Pine"	"Alec Baldwin"	"hs"	55	0	"riseoftheguardians"	0	0	0	1.88
"352"	352	352	"Chicago"	"Mira."	306.8	170.7	136.1	2002	"Musical"	"PG"	3672	7.2	"Musical"	""	23.8	107	20.3	"Rob Marshall"	""	"Taye Diggs"	"Cliff Saunders"	"hs"	145	0	"chicago"	244	75	0	1.18
"353"	353	353	"The Expendables 2"	"LGF"	305.4	85	220.4	2016	"Animation"	"PG-13"	NA	6.7	"Animation"	""	NA	95	NA	"Simon West"	""	"Sylvester Stallone"	"Jason Statham"	"ns"	45	1	"theexpendables2"	0	0	0	1.89
"354"	354	354	"Wrath of the Titans"	"WB"	305.3	83.7	221.6	2012	"Action"	"R"	3355	5.8	"Action"	""	28.6	102	14	"Jonathan Liebesman"	""	"Sam Worthington"	"Liam Neeson"	"ss"	100	0	"wrathofthetitans"	0	0	0	0.84
"355"	355	355	"A Good Day to Die Hard"	"Fox"	304.7	67.3	237.3	2012	"Fantasy"	"PG-13"	3545	5.3	"Fantasy"	""	33.5	99	13	"John Moore"	""	"Bruce Willis"	"Jai Courtney"	"ns"	150	0	"agooddaytodiehard"	0	0	0	0.45
"356"	356	356	"Mulan"	"BV"	304.3	120.6	183.7	2013	"Action"	"R"	3555	7.5	"Action"	""	24.8	97	14.1	"Tony Bancroft"	"Barry Cook"	"Ming-Na Wen"	"Lea Salonga"	"ns"	92	0	"mulan"	73	75	0	1.31
"357"	357	357	"Close Encounters of the Third Kind"	"Col."	303.8	132.1	171.7	1998	"Animation"	"G"	NA	7.7	"Animation"	""	NA	88	NA	"Steven Spielberg"	""	"Richard Dreyfuss"	"Fran_ois Truffaut"	"ss"	NA	0	"closeencountersofthethirdkind"	0	0	0	NA
"358"	358	358	"Battleship"	"Uni."	303	65.4	237.6	1977	"Sci-Fi"	"PG"	NA	5.9	"Sci-Fi"	""	NA	137	NA	"Peter Berg"	""	"Taylor Kitsch"	"Alexander Skarsg_rd"	"ns"	20	0	"battleship"	0	0	0	3.27
"359"	359	359	"Liar Liar"	"Uni."	302.7	181.4	121.3	2012	"Action"	"PG-13"	3702	6.8	"Action"	""	NA	131	NA	"Tom Shadyac"	""	"Jim Carrey"	"Maura Tierney"	"ns"	209	0	"liarliar"	53	70	0	0.87
"360"	360	360	"G.I. Joe: The Rise of Cobra"	"Par."	302.5	150.2	152.3	1997	"Fantasy Comedy"	"PG-13"	2909	5.8	"Fantasy"	"Comedy"	31.4	86	30	"Stephen Sommers"	""	"Adewale Akinnuoye-Agbaje"	"Christopher Eccleston"	"ns"	NA	1	"g.i.joe:theriseofcobra"	0	0	0	NA
"361"	361	361	"Hook"	"TriS"	300.9	119.7	181.2	2009	"Action"	"PG-13"	4007	6.7	"Action"	""	54.7	118	13	"Steven Spielberg"	""	"Dustin Hoffman"	"Robin Williams"	"ss"	175	0	"hook"	40	19	0	0.68
"362"	362	362	"Rocky IV"	"UA"	300.5	127.9	172.6	1991	"Fantasy"	"PG"	NA	6.7	"Fantasy"	""	NA	142	NA	"Sylvester Stallone"	""	"Sylvester Stallone"	"Talia Shire"	"hs"	70	0	"rockyiv"	0	0	0	1.83
"363"	363	363	"Rambo: First Blood Part II"	"TriS"	300.4	150.4	150	1985	"Sports Drama"	"PG"	NA	6.4	"Sports"	"Drama"	NA	91	NA	"George P. Cosmatos"	""	"Sylvester Stallone"	"Richard Crenna"	"hs"	NA	1	"rambo:firstbloodpartii"	0	0	0	NA
"364"	364	364	"Van Helsing"	"Uni."	300.3	120.2	180.1	1985	"Action"	"R"	NA	6	"Action"	""	NA	94	NA	"Stephen Sommers"	""	"Hugh Jackman"	"Kate Beckinsale"	"ss"	NA	0	"vanhelsing"	0	0	0	NA
"365"	365	365	"Superman"	"WB"	300.2	134.2	166	2004	"Period Horror"	"PG-13"	3580	7.3	"Period"	"Horror"	51.7	130	16	"Richard Donner"	""	"Marlon Brando"	"Gene Hackman"	"ns"	160	0	"superman"	258	64	2	0.84
"366"	366	366	"Stuart Little"	"Sony"	300.1	140	160.1	1978	"AA"	"PG"	NA	5.9	"AA"	""	NA	143	NA	"Rob Minkoff"	""	"Michael J. Fox"	"Geena Davis"	"hs"	55	0	"stuartlittle"	97	54	0	2.55
"367"	367	367	"Beverly Hills Cop II"	"Par."	300	153.7	146.3	1999	"Family Adventure"	"PG"	3151	6.4	"Family"	"Adventure"	NA	84	NA	"Tony Scott"	""	"Eddie Murphy"	"Judge Reinhold"	"hs"	133	0	"beverlyhillscopii"	49	1	0	1.16
"368"	368	368	"Kung Fu Panda 3"	"Fox"	299.6	121.4	178.2	1987	"Action Comedy"	"R"	NA	7.8	"Action"	"Comedy"	NA	103	NA	"Alessandro Carloni"	"Jennifer Yuh Nelson"	"Jack Black"	"Bryan Cranston"	"ss"	NA	1	"kungfupanda3"	0	0	0	NA
"369"	369	369	"My Best Friend's Wedding"	"Sony"	299.3	127.1	172.2	1997	"Romantic Comedy"	"PG-13"	NA	6.3	"Romantic"	"Comedy"	NA	105	NA	"P.J. Hogan"	""	"Julia Roberts"	"Dermot Mulroney"	"ss"	38	0	"mybestfriend'swedding"	56	59	0	3.34
"370"	370	370	"Real Steel"	"BV"	299.3	85.5	213.8	2011	"Action Drama"	"PG-13"	3440	7.1	"Action"	"Drama"	27.3	127	19	"Shawn Levy"	""	"Hugh Jackman"	"Dakota Goyo"	"ns"	NA	0	"realsteel"	0	0	0	NA
"371"	371	371	"The Divergent Series: Insurgent"	"LG/S"	297.3	130.2	167.1	2015	"AA"	"PG-13"	3875	6.3	"AA"	""	52.3	119	16	"Robert Schwentke"	""	"Kate Winslet"	"Jai Courtney"	"ns"	110	1	"thedivergentseries:insurgent"	0	0	0	1.18
"372"	372	372	"Dr. Seuss' Horton Hears a Who!"	"Fox"	297.1	154.5	142.6	2008	"Animation"	"G"	NA	6.9	"Animation"	""	NA	88	NA	"Jimmy Hayward"	"Steve Martino"	"Jim Carrey"	"Steve Carell"	"ns"	85	0	"dr.seuss'hortonhearsawho!"	131	67	0	1.82
"373"	373	373	"Look Who's Talking"	"TriS"	297	140.1	156.9	1989	"Family Comedy"	"PG-13"	NA	5.8	"Family"	"Comedy"	NA	93	NA	"Amy Heckerling"	""	"John Travolta"	"Kirstie Alley"	"ns"	NA	0	"lookwho'stalking"	0	0	0	NA
"374"	374	374	"Austin Powers in Goldmember"	"NL"	296.7	213.3	83.3	2002	"Comedy"	"PG-13"	NA	6.2	"Comedy"	""	NA	94	NA	"Jay Roach"	""	"Mike Myers"	"Beyonc¨¦ Knowles"	"ss"	63	0	"austinpowersingoldmember"	0	0	0	3.39
"375"	375	375	"X-Men"	"Fox"	296.3	157.3	139	2000	"AA"	"PG-13"	3112	7.4	"AA"	""	NA	104	NA	"Bryan Singer"	""	"Hugh Jackman"	"Patrick Stewart"	"ss"	75	0	"xmen"	166	70	4	2.1
"376"	376	376	"Resident Evil: Afterlife"	"SGem"	296.2	60.1	236.1	2010	"Action Horror"	"R"	3209	6.3	"Action"	"Horror"	26.7	100	8	"Russell Mulcahy"	""	"Milla Jovovich"	"Oded Fehr"	"ns"	60	1	"residentevil:afterlife"	0	0	0	1
"377"	377	377	"Ghostbusters"	"Col."	295.2	242.2	53	1984	"Horror Comedy"	"PG"	1506	7.8	"Horror"	"Comedy"	NA	107	NA	"Ivan Reitman"	""	"Bill Murray"	"Dan Aykroyd"	"ss"	30	0	"ghostbusters"	0	0	0	8.07
"378"	378	378	"Shutter Island"	"Par."	294.8	128	166.8	2010	"Period Drama"	"R"	3356	8.1	"Period"	"Drama"	41.1	138	16	"Martin Scorsese"	""	"Leonardo DiCaprio"	"Mark Ruffalo"	"ns"	80	0	"shutterisland"	0	0	0	1.6
"379"	379	379	"Doctor Dolittle"	"Fox"	294.5	144.2	150.3	1998	"Family Comedy"	"PG-13"	NA	5.3	"Family"	"Comedy"	NA	85	NA	"Betty Thomas"	""	"Eddie Murphy"	"Ossie Davis"	"ss"	NA	0	"doctordolittle"	0	0	0	NA
"380"	380	380	"Salt"	"Sony"	293.5	118.3	175.2	2010	"Action Thriller"	"PG-13"	3612	6.4	"Action"	"Thriller"	36	99	14	"Phillip Noyce"	""	"Angelina Jolie"	"Liev Schreiber"	"ss"	110	0	"salt"	48	85	0	1.08
"381"	381	381	"G-Force"	"BV"	292.8	119.4	173.4	2009	"Family Adventure"	"PG"	3697	5.1	"Family"	"Adventure"	31.7	90	19	"Hoyt Yeatman"	""	"Bill Nighy"	"Will Arnett"	"ss"	150	0	"gforce"	0	0	0	0.8
