"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_date"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"
"440"	440	440	"Knight & Day"	"Fox"	261.9	76.4	185.5	NA	2010	"Comedy"	"PG-13"	3104	6.3	"Comedy"	""	20.1	130	15.3	"James Mangold"	""	"Tom Cruise"	"Cameron Diaz"	"ss"	117
"441"	441	441	"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan"	"Fox"	261.6	128.5	133.1	NA	2006	"Comedy"	"R"	2611	7.3	"Comedy"	""	26.5	84	21	"Larry Charles"	""	"Sacha Baron Cohen"	"Ken Davitian"	"ns"	18
"442"	442	442	"Total Recall"	"Sony"	261.3	119.4	141.9	NA	1990	"Sci-Fi Action"	"R"	NA	7.5	"Sci-Fi"	"Action"	NA	113	NA	"Paul Verhoeven"	""	"Arnold Schwarzenegger"	"Rachel Ticotin"	"ss"	65
"443"	443	443	"Michael Jackson's This Is It"	"Sony"	261.2	72.1	189.1	NA	2009	"Concert"	"PG"	NA	7.3	"Concert"	""	NA	121	NA	"Kenny Ortega"	""	"Michael Jackson"	"Rachel Ticotin"	"ns"	NA
"444"	444	444	"Robots"	"Fox"	260.7	128.2	132.5	NA	2005	"Animation"	"PG"	3776	6.3	"Animation"	""	36	90	26	"Chris Wedge"	"Carlos Saldanha"	"Paula Abdul"	"Halle Berry"	"ns"	75
"445"	445	445	"The Lone Ranger"	"BV"	260.5	89.3	171.2	NA	2013	"Western"	"PG-13"	3904	6.5	"Western"	""	29.2	149	14.3	"Gore Verbinski"	""	"Johnny Depp"	"Armie Hammer"	"ss"	215
"446"	446	446	"Super 8"	"Par."	260.1	127	133.1	NA	2011	"Sci-Fi"	"PG-13"	3424	7.1	"Sci-Fi"	""	35.5	112	16	"J.J. Abrams"	""	"Joel Courtney"	"Jessica Tuck"	"ss"	50
"447"	447	447	"Paddington"	"W/Dim."	259.6	76.3	183.3	NA	2015	"Family"	"PG"	3355	7.2	"Family"	""	NA	95	NA	"Paul King"	""	"Tim Downie"	"Madeleine Worrall"	"ns"	55
"448"	448	448	"Charlie's Angels: Full Throttle"	"Sony"	259.2	100.8	158.3	NA	2003	"Action Comedy"	"PG-13"	3485	4.8	"Action"	"Comedy"	NA	105	NA	"McG"	""	"Cameron Diaz"	"Drew Barrymore"	"ss"	120
"449"	449	449	"Rush Hour 3"	"NL"	258	140.1	117.9	NA	2007	"Action Comedy"	"PG-13"	3778	6.2	"Action"	"Comedy"	49.1	90	14	"Brett Ratner"	""	"Chris Tucker"	"Jackie Chan"	"ss"	140
"450"	450	450	"The Full Monty"	"FoxS"	257.9	46	212	NA	1997	"Comedy"	"R"	NA	7.2	"Comedy"	""	NA	91	NA	"Peter Cattaneo"	""	"Robert Carlyle"	"Mark Addy"	"ss"	3.5
"451"	451	451	"Annabelle"	"WB (NL)"	256.9	84.3	172.6	NA	2014	"Horror"	"R"	3215	5.4	"Horror"	""	37.1	95	11	"John R. Leonetti"	""	"Annabelle Wallis"	"Ward Horton"	"ns"	6.5
"452"	452	452	"The Village"	"BV"	256.7	114.2	142.5	NA	2004	"Period Horror"	"PG-13"	3733	6.5	"Period"	"Horror"	50.7	108	18	"M. Night Shyamalan"	""	"Bryce Dallas Howard"	"Joaquin Phoenix"	"ss"	60
"453"	453	453	"Erin Brockovich"	"Uni."	256.3	125.6	130.7	NA	2000	"Drama"	"R"	3070	7.3	"Drama"	""	NA	130	NA	"Steven Soderbergh"	""	"Julia Roberts"	"David Brisbin"	"ns"	52
"454"	454	454	"Cliffhanger"	"TriS"	255	84	171	NA	1993	"Action Thriller"	"R"	NA	6.4	"Action"	"Thriller"	NA	113	NA	"Renny Harlin"	""	"Sylvester Stallone"	"John Lithgow"	"ss"	70
"455"	455	455	"Babe"	"Uni."	254.1	63.7	190.5	NA	1995	"Family"	"G"	NA	6.8	"Family"	""	NA	92	NA	"Chris Noonan"	""	"Christine Cavanaugh"	"Miriam Margolyes"	"ss"	NA
"456"	456	456	"Wild Hogs"	"BV"	253.6	168.3	85.4	NA	2007	"Comedy"	"PG-13"	3401	5.9	"Comedy"	""	39.7	99	22	"Walt Becker"	""	"Tim Allen"	"John Travolta"	"ns"	NA
"457"	457	457	"High School Musical 3: Senior Year"	"BV"	252.9	90.6	162.3	NA	2008	"Musical"	"G"	3626	4.4	"Musical"	""	42	100	15	"Kenny Ortega"	""	"Zac Efron"	"Vanessa Hudgens"	"ns"	11
"458"	458	458	"Hercules"	"BV"	252.7	99.1	153.6	NA	1997	"Animation"	"G"	NA	7.2	"Animation"	""	NA	92	NA	"Ron Clements"	"John Musker"	"Tate Donovan"	"Josh Keaton"	"ss"	85
"459"	459	459	"True Grit"	"Par."	252.3	171.2	81	NA	2010	"Western"	"PG-13"	3464	7.7	"Western"	""	NA	110	NA	"Ethan Coen"	"Joel Coen"	"Jeff Bridges"	"Hailee Steinfeld"	"hs"	38
"460"	460	460	"Bean"	"Gram."	251.2	45.3	205.9	NA	1997	"Comedy"	"PG-13"	NA	6.3	"Comedy"	""	NA	90	NA	"Mel Smith"	""	"Rowan Atkinson"	"Peter MacNicol"	"ns"	18
"461"	461	461	"American Hustle"	"Sony"	251.2	150.1	101.1	NA	2013	"Drama"	"R"	NA	7.3	"Drama"	""	NA	138	NA	"David O. Russell"	""	"Christian Bale"	"Bradley Cooper"	"hs"	40
"462"	462	462	"You've Got Mail"	"WB"	250.8	115.8	135	NA	1998	"Romantic Comedy"	"PG"	2948	6.5	"Romantic"	"Comedy"	NA	119	NA	"Nora Ephron"	""	"Tom Hanks"	"Meg Ryan"	"hs"	65
"463"	463	463	"Enemy of the State"	"BV"	250.6	111.5	139.1	NA	1998	"Action Thriller"	"R"	NA	7.3	"Action"	"Thriller"	NA	131	NA	"Tony Scott"	""	"Will Smith"	"Gene Hackman"	"hs"	90
"464"	464	464	"Brother Bear"	"BV"	250.4	85.3	165.1	NA	2003	"Animation"	"G"	NA	6.8	"Animation"	""	NA	85	NA	"Aaron Blaise"	"Robert Walker"	"Joaquin Phoenix"	"Jeremy Suarez"	"ns"	NA
"465"	465	465	"The Mask of Zorro"	"Sony"	250.3	94.1	156.2	NA	1998	"Period Adventure"	"PG-13"	2515	6.7	"Period"	"Adventure"	NA	137	NA	"Martin Campbell"	""	"Jos¨¦ Mar¨ªa de Tavira"	"Diego Sieres"	"ss"	95
"466"	466	466	"Eragon"	"Fox"	249.5	75	174.5	NA	2006	"Fantasy"	"PG"	3030	5.1	"Fantasy"	""	23.2	99	17	"Stefen Fangmeier"	""	"Ed Speleers"	"Jeremy Irons"	"hs"	100
"467"	467	467	"The Ring"	"DW"	249.3	129.1	120.2	NA	2002	"Horror"	"PG-13"	2927	7.1	"Horror"	""	NA	109	NA	"Gore Verbinski"	""	"Naomi Watts"	"Martin Henderson"	"ns"	48
"468"	468	468	"The Blair Witch Project"	"Art."	248.6	140.5	108.1	NA	1999	"Horror"	"R"	NA	6.4	"Horror"	""	NA	86	NA	"Daniel Myrick"	"Eduardo S¨¢nchez"	"Heather Donahue"	"Joshua Leonard"	"ss"	60
"469"	469	469	"Unbreakable"	"BV"	248.1	95	153.1	NA	2000	"Thriller"	"PG-13"	2708	7.2	"Thriller"	""	NA	106	NA	"M. Night Shyamalan"	""	"Bruce Willis"	"Samuel L. Jackson"	"hs"	75
"470"	470	470	"Dumb and Dumber"	"NL"	247.3	127.2	120.1	NA	1994	"Comedy"	"PG-13"	NA	7.3	"Comedy"	""	NA	101	NA	"Peter Farrelly"	"Bobby Farrelly"	"Jim Carrey"	"Jeff Daniels"	"hs"	17
"471"	471	471	"Grown Ups 2"	"Sony"	247	133.7	113.3	NA	2013	"Comedy"	"PG-13"	3491	5.4	"Comedy"	""	41.5	101	18.4	"Dennis Dugan"	""	"Adam Sandler"	"Kevin James"	"ss"	80
"472"	472	472	"Love Actually"	"Uni."	246.9	59.7	187.2	NA	2003	"Romantic Comedy"	"R"	NA	7.7	"Romantic"	"Comedy"	NA	128	NA	"Richard Curtis"	""	"Bill Nighy"	"Gregor Fisher"	"ns"	40
"473"	473	473	"Rango"	"Par."	245.7	123.5	122.2	NA	2011	"Animation"	"PG"	3923	7.2	"Animation"	""	NA	107	NA	"Gore Verbinski"	""	"Johnny Depp"	"Isla Fisher"	"ns"	135
"474"	474	474	"Four Weddings and a Funeral"	"Gram."	245.7	52.7	193	NA	1994	"Romantic Comedy"	"R"	NA	7.1	"Romantic"	"Comedy"	NA	118	NA	"Mike Newell"	""	"Hugh Grant"	"James Fleet"	"ns"	4.4
"475"	475	475	"Face/Off"	"Par."	245.7	112.3	133.4	NA	1997	"Action"	"R"	2851	7.3	"Action"	""	NA	138	NA	"John Woo"	""	"John Travolta"	"Nicolas Cage"	"ss"	80
"476"	476	476	"The Peanuts Movie"	"Fox"	245.7	130.1	115.5	NA	2015	"Animation"	"G"	NA	7.3	"Animation"	""	NA	93	NA	"Steve Martino"	""	"Trombone Shorty"	"Rebecca Bloom"	"ns"	99
"477"	477	477	"Dark Shadows"	"WB"	245.5	79.7	165.8	NA	2012	"Horror Comedy"	"PG-13"	3755	8.1	"Horror"	"Comedy"	29.7	113	14	"Dan Curtis"	""	"Jonathan Frid"	"Grayson Hall"	"ns"	150
"478"	478	478	"Hulk"	"Uni."	245.4	132.2	113.2	NA	2003	"AA"	"PG-13"	3674	5.7	"AA"	""	62.1	135	17	"Ang Lee"	""	"Eric Bana"	"Jennifer Connelly"	"ss"	137
"479"	479	479	"Bienvenue chez les Ch'tis"	NA	245.1	NA	245.1	NA	2008	"Comedy"	"None"	NA	7.1	"Comedy"	"Budget: N/A"	NA	NA	NA	"Dany Boon"	""	"Kad Merad"	"Dany Boon"	NA	NA
"480"	480	480	"The Godfather"	"Par."	245.1	135	110.1	NA	1972	"Crime Drama"	"R"	NA	9.2	"Crime"	"Drama"	NA	175	NA	"Francis Ford Coppola"	""	"Marlon Brando"	"Al Pacino"	"ns"	6
"481"	481	481	"Hercules (2014)"	"Par."	244.8	72.7	172.1	NA	2014	"AA"	"PG-13"	3595	7.2	"AA"	""	29.8	98	12	"Ron Clements"	"John Musker"	"Tate Donovan"	"Josh Keaton"	"ss"	100
"482"	482	482	"Back to the Future Part III"	"Uni."	244.5	87.7	156.8	NA	1990	"Western"	"PG"	NA	7.4	"Western"	""	NA	118	NA	"Robert Zemeckis"	""	"Michael J. Fox"	"Christopher Lloyd"	"ss"	40
"483"	483	483	"Rush Hour"	"NL"	244.4	141.2	103.2	NA	1998	"Action Comedy"	"PG-13"	NA	6.9	"Action"	"Comedy"	NA	97	NA	"Brett Ratner"	""	"Ken Leung"	"Jackie Chan"	"ns"	33
"484"	484	484	"After Earth"	"Sony"	243.8	60.5	183.3	NA	2013	"Sci-Fi"	"PG-13"	3401	4.9	"Sci-Fi"	""	27.5	100	11.4	"M. Night Shyamalan"	""	"Jaden Smith"	"Will Smith"	"ss"	130
"485"	485	485	"Pixels"	"Sony"	243.5	78.7	164.7	NA	2015	"Action Comedy"	"PG-13"	3723	5.7	"Action"	"Comedy"	24	105	15.4	"Chris Columbus"	""	"Adam Sandler"	"Kevin James"	"ss"	88
"486"	486	486	"A Few Good Men"	"Col."	243.2	141.3	101.9	NA	1992	"Drama / Thriller"	"R"	NA	7.6	"Drama"	"Thriller"	NA	138	NA	"Rob Reiner"	""	"Tom Cruise"	"Jack Nicholson"	"hs"	40
"487"	487	487	"Cloudy with a Chance of Meatballs"	"Sony"	243	124.9	118.1	NA	2009	"Animation"	"PG"	NA	7	"Animation"	""	NA	81	NA	"Phil Lord"	"Christopher Miller"	"Bill Hader"	"Anna Faris"	"ns"	100
"488"	488	488	"8 Mile"	"Uni."	242.9	116.8	126.1	NA	2002	"Music Drama"	"R"	2585	7	"Music"	"Drama"	51.2	118	20	"Curtis Hanson"	""	"Eminem"	"Kim Basinger"	"ns"	41
"489"	489	489	"Marley and Me"	"Fox"	242.7	143.2	99.6	NA	2008	"Comedy"	"PG"	3505	7.1	"Comedy"	""	36.4	120	18.1	"David Frankel"	""	"Owen Wilson"	"Jennifer Aniston"	"hs"	NA
"490"	490	490	"RoboCop (2014)"	"Sony"	242.7	58.6	184.1	NA	2014	"Sci-Fi Action"	"PG-13"	3372	5.7	"Sci-Fi"	"Action"	21.7	108	13.7	"Irvin Kershner"	""	"Belinda Bauer"	"John Glover"	"ns"	100
"491"	491	491	"Eraser"	"WB"	242.3	101.3	141	NA	1996	"Action"	"R"	NA	6.1	"Action"	""	NA	115	NA	"Chuck Russell"	""	"Arnold Schwarzenegger"	"James Caan"	"ss"	100
"492"	492	492	"Journey to the Center of the Earth"	"WB (NL)"	242	101.7	140.3	NA	2008	"Adventure"	"PG"	2830	5.8	"Adventure"	""	21	92	22	"Eric Brevig"	""	"Brendan Fraser"	"Josh Hutcherson"	"ss"	60
"493"	493	493	"Resident Evil: Retribution"	"SGem"	240.2	42.3	197.8	NA	2012	"Action Horror"	"R"	3016	5.4	"Action"	"Horror"	21.1	95	8.4	"Paul W.S. Anderson"	""	"Milla Jovovich"	"Sienna Guillory"	"ns"	65
"494"	494	494	"Die Hard 2: Die Harder"	"Fox"	240	117.5	122.5	NA	1990	"Action Thriller"	"R"	2507	7.1	"Action"	"Thriller"	NA	124	NA	"Renny Harlin"	""	"Bruce Willis"	"Bonnie Bedelia"	"ss"	70
"495"	495	495	"Crocodile Dundee II"	"Par."	239.6	109.3	130.3	NA	1988	"Adventure Comedy"	"PG"	NA	5.5	"Adventure"	"Comedy"	NA	110	NA	"John Cornell"	""	"Paul Hogan"	"Linda Kozlowski"	"ss"	NA
"496"	496	496	"Planes"	"BV"	239.3	90.3	149	NA	2013	"Animation"	"PG"	3716	5.8	"Animation"	""	22.2	92	19	"Klay Hall"	""	"Dane Cook"	"Stacy Keach"	"ss"	50
"497"	497	497	"Batman and Robin"	"WB"	238.2	107.3	130.9	NA	1997	"AA"	"PG-13"	2942	3.7	"AA"	""	NA	125	NA	"Joel Schumacher"	""	"Arnold Schwarzenegger"	"George Clooney"	"ss"	125
"498"	498	498	"Click"	"SonR"	237.7	137.4	100.3	NA	2006	"Fantasy Comedy"	"PG-13"	3764	6.4	"Fantasy"	"Comedy"	NA	97	NA	"Frank Coraci"	""	"Adam Sandler"	"Kate Beckinsale"	"ss"	82.5
"499"	499	499	"Gulliver's Travels"	"Fox"	237.4	42.8	194.6	NA	2010	"Adventure Comedy"	"PG"	3089	4.9	"Adventure"	"Comedy"	6.3	85	15.9	"Rob Letterman"	""	"Jack Black"	"Jason Segel"	"hs"	112
"500"	500	500	"Gone in 60 Seconds"	"BV"	237.2	101.6	135.6	NA	2000	"Action"	"PG-13"	3089	6.5	"Action"	""	NA	117	NA	"Dominic Sena"	""	"Nicolas Cage"	"Giovanni Ribisi"	"ss"	90
"501"	501	501	"Saturday Night Fever"	"Par."	237.1	94.2	142.9	NA	1977	"Music Drama"	"R"	NA	6.8	"Music"	"Drama"	NA	118	NA	"John Badham"	""	"John Travolta"	"Karen Lynn Gorney"	"hs"	NA
"502"	502	502	"Silver Linings Playbook"	"Wein."	236.4	132.1	104.3	NA	2012	"Comedy"	"R"	NA	7.8	"Comedy"	""	NA	122	NA	"David O. Russell"	""	"Bradley Cooper"	"Jennifer Lawrence"	"ns"	21
"503"	503	503	"2 Fast 2 Furious"	"Uni."	236.4	127.2	109.2	NA	2003	"Action"	"PG-13"	3418	5.8	"Action"	""	50.5	101	19	"John Singleton"	""	"Paul Walker"	"Tyrese Gibson"	"ss"	76
"504"	504	504	"A.I. Artificial Intelligence"	"WB"	235.9	78.6	157.3	NA	2001	"Sci-Fi"	"PG-13"	NA	7.1	"Sci-Fi"	""	NA	145	NA	"Steven Spielberg"	""	"Haley Joel Osment"	"Frances O'Connor"	"ss"	100
"505"	505	505	"Dead Poets Society"	"BV"	235.9	95.9	140	NA	1989	"Drama"	"PG"	NA	8	"Drama"	""	NA	128	NA	"Peter Weir"	""	"Robin Williams"	"Robert Sean Leonard"	"ss"	NA
"506"	506	506	"Spy"	"Fox"	235.7	110.8	124.8	NA	2015	"Comedy"	"PG-13"	NA	7.1	"Comedy"	""	NA	96	NA	"Paul Feig"	""	"Jude Law"	"Raad Rawi"	"hs"	NA
"507"	507	507	"American Pie"	"Uni."	235.5	102.6	132.9	NA	2015	"Comedy"	"R"	3715	7	"Comedy"	""	29.1	120	18	"Paul Weitz"	"Chris Weitz"	"Jason Biggs"	"Chris Klein"	"ss"	65
"508"	508	508	"Howl's Moving Castle"	"BV"	235.2	4.7	230.5	NA	1999	"Comedy"	"R"	NA	8.2	"Comedy"	""	NA	95	NA	"Hayao Miyazaki"	""	"Chieko Baish_"	"Takuya Kimura"	"ss"	11
"509"	509	509	"American Reunion"	"Uni."	235	57	178	NA	2005	"Animation"	"PG"	NA	6.7	"Animation"	""	NA	119	NA	"Jon Hurwitz"	"Hayden Schlossberg"	"Jason Biggs"	"Alyson Hannigan"	"ss"	NA
"510"	510	510	"Big Daddy"	"Sony"	234.8	163.5	71.3	NA	2012	"Comedy"	"R"	3203	6.4	"Comedy"	""	NA	113	NA	"Dennis Dugan"	""	"Adam Sandler"	"Joey Lauren Adams"	"ns"	50
"511"	511	511	"Daddy's Home"	"Par."	234.7	148	86.7	NA	1999	"Comedy"	"PG-13"	3254	5.8	"Comedy"	""	NA	93	NA	"Amy Heckerling"	""	"John Travolta"	"Kirstie Alley"	"ss"	34.2
"512"	512	512	"The Day the Earth Stood Still (2008)"	"Fox"	233.1	79.4	153.7	NA	2008	"Sci-Fi"	"PG-13"	3560	5.5	"Sci-Fi"	""	30.5	110	16	"Scott Derrickson"	""	"Keanu Reeves"	"Jennifer Connelly"	"hs"	80
"513"	513	513	"The Girl with the Dragon Tattoo (2011)"	"Sony"	232.6	102.5	130.1	NA	2011	"Thriller"	"R"	2950	2.6	"Thriller"	""	12.8	160	13.3	"Craig Moss"	""	"Ashley Martin"	"Austin Michael Scott"	"hs"	90
"514"	514	514	"Argo"	"WB"	232.3	136	96.3	NA	2012	"Drama / Thriller"	"R"	3247	7.8	"Drama"	"Thriller"	NA	120	NA	"Ben Affleck"	""	"Ben Affleck"	"Bryan Cranston"	"ns"	44.5
"515"	515	515	"The English Patient"	"Mira."	232	78.7	153.3	NA	1996	"Romance"	"R"	NA	7.4	"Romance"	""	NA	162	NA	"Anthony Minghella"	""	"Ralph Fiennes"	"Juliette Binoche"	"ns"	27
"516"	516	516	"Sister Act"	"BV"	231.6	139.6	92	NA	1992	"Comedy"	"PG"	NA	6.2	"Comedy"	""	NA	100	NA	"Emile Ardolino"	""	"Whoopi Goldberg"	"Maggie Smith"	"ss"	NA
"517"	517	517	"American Wedding"	"Uni."	231.4	104.6	126.9	NA	2003	"Comedy"	"R"	NA	6.3	"Comedy"	""	NA	102	NA	"Jesse Dylan"	""	"Jason Biggs"	"Seann William Scott"	"ss"	55
"518"	518	518	"Juno"	"FoxS"	231.4	143.5	87.9	NA	2007	"Comedy / Drama"	"PG-13"	NA	7.5	"Comedy"	"Drama"	NA	91	NA	"Jason Reitman"	""	"Ellen Page"	"Michael Cera"	"hs"	7.5
"519"	519	519	"Constantine"	"WB"	230.9	76	154.9	NA	2005	"Horror"	"R"	3006	6.9	"Horror"	""	NA	121	NA	"Francis Lawrence"	""	"Keanu Reeves"	"Rachel Weisz"	"ns"	100
"520"	520	520	"Get Smart"	"WB"	230.7	130.3	100.4	NA	2008	"Action Comedy"	"PG-13"	3915	6.5	"Action"	"Comedy"	38.7	110	20	"Peter Segal"	""	"Steve Carell"	"Anne Hathaway"	"ss"	80
"521"	521	521	"Space Jam"	"WB"	230.4	90.4	140	NA	1996	"Family Comedy"	"PG"	NA	6.3	"Family"	"Comedy"	NA	88	NA	"Joe Pytka"	""	"Michael Jordan"	"Wayne Knight"	"ns"	NA
"522"	522	522	"The Heat"	"Fox"	229.9	159.6	70.3	NA	2013	"Comedy"	"R"	3184	6.6	"Comedy"	""	39.1	117	24	"Paul Feig"	""	"Sandra Bullock"	"Melissa McCarthy"	"ss"	43
"523"	523	523	"Mr. Bean's Holiday"	"Uni."	229.7	33.3	196.4	NA	2007	"Comedy"	"G"	NA	6.3	"Comedy"	""	NA	90	NA	"Steve Bendelack"	""	"Rowan Atkinson"	"Steve Pemberton"	"ss"	NA
"524"	524	524	"Life Is Beautiful"	"Mira."	229.2	57.6	171.6	NA	1998	"Foreign"	"PG-13"	NA	8.6	"Foreign"	""	NA	116	NA	"Roberto Benigni"	""	"Roberto Benigni"	"Nicoletta Braschi"	"ns"	NA
"525"	525	525	"Ghost Rider"	"Sony"	228.7	115.8	112.9	NA	2007	"Action Horror"	"PG-13"	3620	5.2	"Action"	"Horror"	45.4	110	11	"Mark Steven Johnson"	""	"Matt Long"	"Raquel Alessi"	"ns"	110
"526"	526	526	"Lethal Weapon 2"	"WB"	227.9	147.3	80.6	NA	1989	"Action Comedy"	"R"	1830	7.2	"Action"	"Comedy"	NA	113	NA	"Richard Donner"	""	"Mel Gibson"	"Danny Glover"	"ss"	NA
"527"	527	527	"The Green Hornet"	"Sony"	227.8	98.8	129	NA	2011	"AA"	"PG-13"	3584	5.9	"AA"	""	NA	108	NA	"Michel Gondry"	""	"Seth Rogen"	"Jay Chou"	"ns"	120
"528"	528	528	"Sleepless in Seattle"	"TriS"	227.8	126.7	101.1	NA	1993	"Romantic Comedy"	"PG"	1657	6.8	"Romantic"	"Comedy"	NA	105	NA	"Nora Ephron"	""	"Tom Hanks"	"Ross Malinger"	"ss"	21
"529"	529	529	"The Imitation Game"	"Wein."	227.8	91.1	136.6	NA	2014	"Drama"	"PG-13"	NA	8.1	"Drama"	""	NA	114	NA	"Morten Tyldum"	""	"Benedict Cumberbatch"	"Keira Knightley"	"hs"	NA
"530"	530	530	"Immortals"	"Rela."	226.9	83.5	143.4	NA	2011	"Fantasy Drama"	"R"	3120	6.1	"Fantasy"	"Drama"	32.2	110	15	"Tarsem Singh"	""	"Henry Cavill"	"Mickey Rourke"	"ns"	75
"531"	531	531	"Taken"	"Fox"	226.8	145	81.8	NA	2009	"Action"	"PG-13"	3184	7.9	"Action"	""	24.7	93	23	"Pierre Morel"	""	"Liam Neeson"	"Maggie Grace"	"ns"	25
"532"	532	532	"Percy Jackson & The Olympians: The Lightning Thief"	"Fox"	226.5	88.8	137.7	NA	2010	"Fantasy"	"PG"	3396	5.9	"Fantasy"	""	31.2	120	20	"Chris Columbus"	""	"Logan Lerman"	"Brandon T. Jackson"	"ns"	95
"533"	533	533	"Hansel and Gretel: Witch Hunters"	"Par."	226.3	55.7	170.6	NA	2013	"Action Comedy"	"R"	3375	6.1	"Action"	"Comedy"	19.7	88	13	"Tommy Wirkola"	""	"Jeremy Renner"	"Gemma Arterton"	"ns"	50
"534"	534	534	"Good Will Hunting"	"Mira."	225.9	138.4	87.5	NA	1997	"Drama"	"R"	NA	8.3	"Drama"	""	NA	126	NA	"Gus Van Sant"	""	"Matt Damon"	"Robin Williams"	"hs"	NA
"535"	535	535	"The Social Network"	"Sony"	224.9	97	128	NA	2010	"Comedy / Drama"	"PG-13"	2921	7.7	"Comedy"	"Drama"	22.4	120	22	"David Fincher"	""	"Jesse Eisenberg"	"Rooney Mara"	"ns"	40
"536"	536	536	"Chicken Run"	"DW"	224.8	106.8	118	NA	2000	"Animation"	"G"	2953	7	"Animation"	""	NA	84	NA	"Peter Lord"	"Nick Park"	"Phil Daniels"	"Lynn Ferguson"	"ss"	45
"537"	537	537	"Con Air"	"BV"	224	101.1	122.9	NA	1997	"Action"	"PG"	NA	6.8	"Action"	""	NA	115	NA	"Simon West"	""	"Colm Meaney"	"Mykelti Williamson"	"ss"	NA
"538"	538	538	"Interview with the Vampire"	"WB"	223.7	105.3	118.4	NA	1994	"Period Horror"	"R"	2941	7.6	"Period"	"Horror"	24.1	123	19	"Neil Jordan"	""	"Brad Pitt"	"Christian Slater"	"ns"	75
"539"	539	539	"Flightplan"	"BV"	223.4	89.7	133.7	NA	2005	"Thriller"	"R"	NA	6.2	"Thriller"	""	NA	93	NA	"Robert Schwentke"	""	"Jodie Foster"	"Peter Sarsgaard"	"ns"	60
"540"	540	540	"Yes Man"	"WB"	223.2	97.7	125.6	NA	2008	"Comedy"	"PG-13"	3424	6.8	"Comedy"	""	24.6	104	24	"Peyton Reed"	""	"Jim Carrey"	"Zooey Deschanel"	"hs"	NA
"541"	541	541	"Non-Stop"	"Uni."	222.8	92.2	130.6	NA	2014	"Thriller"	"PG-13"	3434	7	"Thriller"	""	18.3	110	15	"Jaume Collet-Serra"	""	"Liam Neeson"	"Julianne Moore"	"ns"	70
"542"	542	542	"Honey I Shrunk the Kids"	"BV"	222.7	130.7	92	NA	1989	"Family Adventure"	"PG-13"	3183	6.3	"Family"	"Adventure"	NA	101	NA	"Joe Johnston"	""	"Rick Moranis"	"Matt Frewer"	"ss"	50
"543"	543	543	"Fahrenheit 9/11"	"Lions"	222.4	119.2	103.3	NA	2004	"Documentary"	"PG"	NA	7.5	"Documentary"	""	NA	116	NA	"Michael Moore"	""	"Ben Affleck"	"Stevie Wonder"	"ss"	NA
"544"	544	544	"Jumper"	"Fox"	222.2	80.2	142.1	NA	2008	"Fantasy"	"R"	NA	6.1	"Fantasy"	""	NA	90	NA	"Doug Liman"	""	"Hayden Christensen"	"Jamie Bell"	"ns"	6
"545"	545	545	"Wild Wild West"	"WB"	222.1	113.8	108.3	NA	1999	"Western Comedy"	"PG-13"	3430	4.8	"Western"	"Comedy"	27.4	107	21.1	"Barry Sonnenfeld"	""	"Will Smith"	"Kevin Kline"	"ss"	85
"546"	546	546	"Presumed Innocent"	"WB"	221.3	86.3	135	NA	1990	"Thriller"	"PG-13"	3342	6.9	"Thriller"	""	NA	127	NA	"Alan J. Pakula"	""	"Harrison Ford"	"Brian Dennehy"	"ss"	170
"547"	547	547	"Scary Movie 3"	"Dim."	220.7	110	110.7	NA	2003	"Horror Comedy"	"R"	NA	5.4	"Horror"	"Comedy"	NA	90	NA	"David Zucker"	""	"Pamela Anderson"	"Jenny McCarthy"	"ns"	NA
"548"	548	548	"Elf"	"NL"	220.4	173.4	47	NA	2003	"Comedy"	"PG-13"	3505	6.9	"Comedy"	""	48.1	95	17	"Jon Favreau"	""	"Will Ferrell"	"James Caan"	"ns"	48
"549"	549	549	"Green Lantern"	"WB"	219.9	116.6	103.3	NA	2011	"AA"	"PG"	3381	5.6	"AA"	""	31.1	105	17	"Martin Campbell"	""	"Ryan Reynolds"	"Blake Lively"	"ss"	33
"550"	550	550	"The Terminal"	"DW"	219.4	77.9	141.5	NA	2004	"Comedy / Drama"	"PG-13"	3816	7.3	"Comedy"	"Drama"	53.2	128	15	"Steven Spielberg"	""	"Tom Hanks"	"Catherine Zeta-Jones"	"ss"	200
"551"	551	551	"What Happens in Vegas"	"Fox"	219.4	80.3	139.1	NA	2008	"Comedy"	"PG-13"	2914	6.1	"Comedy"	""	NA	99	NA	"Tom Vaughan"	""	"Cameron Diaz"	"Ashton Kutcher"	"ns"	60
"552"	552	552	"It's Complicated"	"Uni."	219.1	112.7	106.4	NA	2009	"Romantic Comedy"	"PG-13"	3255	6.6	"Romantic"	"Comedy"	20.2	118	19	"Nancy Meyers"	""	"Meryl Streep"	"Steve Martin"	"hs"	35
"553"	553	553	"Knocked Up"	"Uni."	219.1	148.8	70.3	NA	2007	"Romantic Comedy"	"R"	2955	7	"Romantic"	"Comedy"	22.1	129	14	"Judd Apatow"	""	"Seth Rogen"	"Katherine Heigl"	"ss"	85
