rank	reviewnum	title	tomato_rating
37.	46	Abre los Ojos (1999)	85%
38.	162	Fight Club (1999)	79%
39.	132	The Green Mile (1999)	80%
40.	108	Bowfinger (1999)	81%
41.	66	Tumbleweeds (1999)	83%
42.	94	"South Park: Bigger, Longer & Uncut (1999)"	81%
43.	66	Beyond the Mat (1999)	82%
44.	96	Office Space (1999)	79%
45.	52	"Happy, Texas (1999)"	81%
46.	70	Audition (_dishon) (1999)	80%
47.	47	Jesus' Son (1999)	81%
48.	146	Eyes Wide Shut (1999)	74%
49.	60	Sweet and Lowdown (1999)	78%
50.	46	Get Real (1999)	78%
51.	45	Twin Falls Idaho (1999)	78%
52.	68	Mansfield Park (1999)	76%
53.	43	The Adventures of Elmo in Grouchland (1999)	77%
54.	59	"Lock, Stock and Two Smoking Barrels (1999)"	76%
55.	48	Besieged (1999)	75%
56.	111	The Cider House Rules (1999)	71%
57.	105	Bringing Out the Dead (1999)	71%
58.	71	The Best Man (1999)	72%
59.	45	The Dinner Game (Le D_ner de cons) (1999)	73%
60.	41	The Red Violin (Le violon rouge) (1999)	73%
61.	99	The Thomas Crown Affair (1999)	70%
62.	63	Existenz (1999)	71%
63.	101	Analyze This (1999)	69%
64.	71	Dick (1999)	70%
65.	126	Dogma (1999)	67%
66.	126	Sleepy Hollow (1999)	67%
67.	103	Stir of Echoes (1999)	67%
68.	75	Titus (1999)	68%
69.	78	William Shakespeare's 'A Midsummer Night's Dream' (1999)	67%
70.	97	Stuart Little (1999)	66%
71.	66	The End of the Affair (1999)	67%
72.	118	Man on the Moon (1999)	63%
73.	68	Cradle Will Rock (1999)	65%
74.	55	A Map of the World (1999)	65%
75.	89	Music of the Heart (1999)	63%
76.	123	American Pie (1999)	61%
77.	212	Star Wars: Episode I - The Phantom Menace (1999)	56%
78.	89	Arlington Road (1999)	62%
79.	65	Ride With the Devil (1999)	63%
80.	56	Muppets From Space (1999)	63%
81.	46	EDtv (1999)	63%
82.	103	Mystery Men (1999)	60%
83.	62	10 Things I Hate About You (1999)	61%
84.	56	The Wood (1999)	61%
85.	79	Blast From the Past (1999)	58%
86.	81	Never Been Kissed (1999)	57%
87.	91	Deep Blue Sea (1999)	56%
88.	77	Mumford (1999)	56%
89.	112	"Girl, Interrupted (1999)"	54%
90.	83	The Mummy (1999)	55%
91.	136	The World Is Not Enough (1999)	51%
92.	74	Payback (1999)	54%
93.	120	Any Given Sunday (1999)	51%
94.	40	True Crime (1999)	55%
95.	85	Angela's Ashes (1999)	52%
96.	77	The Muse (1999)	52%
97.	85	Austin Powers: The Spy Who Shagged Me (1999)	51%
98.	96	Summer of Sam (1999)	50%
99.	74	Outside Providence (1999)	50%
100.	78	Cruel Intentions (1999)	49%
1.	170	Chicken Run (2000)	97%
2.	58	Le go_t des autres (The Taste of Others) (2000)	100%
3.	54	Croupier (2000)	98%
4.	65	The Life and Times of Hank Greenberg (2000)	97%
5.	110	Best in Show (2000)	95%
6.	78	Yi Yi (2000)	96%
7.	101	You Can Count On Me (2000)	95%
8.	168	Memento (2000)	92%
9.	155	Traffic (2000)	92%
10.	164	High Fidelity (2000)	91%
11.	43	Not One Less (2000)	95%
12.	67	Dark Days (2000)	94%
13.	154	Cast Away (2000)	90%
14.	165	Almost Famous (2000)	88%
15.	56	Panic (2000)	91%
16.	48	Aim¨¦e & Jaguar (2000)	90%
17.	81	Exorcist: The Version You've Never Seen (2000)	88%
18.	128	Sexy Beast (2000)	86%
19.	76	The Widow of Saint-Pierre (The Widow of St. Pierre) (La veuve de Saint-Pierre) (2000)	88%
20.	94	Girlfight (2000)	87%
21.	115	State and Main (2000)	86%
22.	127	The Emperor's New Groove (2000)	85%
23.	146	Meet the Parents (2000)	84%
24.	143	Erin Brockovich (2000)	84%
25.	115	Billy Elliot (2000)	85%
26.	88	The Original Kings of Comedy (2000)	86%
27.	130	Nurse Betty (2000)	84%
28.	52	Nico and Dani (Kr¨¢mpack) (2000)	87%
29.	86	Chuck & Buck (2000)	85%
30.	43	Battle Royale 3D (2000)	86%
31.	118	Thirteen Days (2000)	83%
32.	42	Chunhyangdyun (2000)	86%
33.	166	X-Men (2000)	81%
34.	61	George Washington (2000)	84%
35.	135	Shadow of the Vampire (2000)	81%
36.	51	Merci pour le chocolat (2000)	84%
37.	124	Wonder Boys (2000)	81%
38.	94	Ghost Dog - The Way of the Samurai (2000)	82%
39.	87	Love and Basketball (2000)	82%
40.	82	Fantasia 2000 (2000)	82%
41.	107	Pollock (2000)	81%
42.	96	The House of Mirth (2000)	81%
43.	42	Lakeboat (2000)	83%
44.	133	Shanghai Noon (2000)	79%
45.	55	The Vertical Ray of the Sun (At the Height of Summer) (Mua he chieu thang dung) (2000)	82%
46.	186	Gladiator (2000)	76%
47.	133	Requiem for a Dream (2000)	78%
48.	148	"O Brother, Where Art Thou? (2000)"	77%
49.	119	Space Cowboys (2000)	78%
50.	49	The Tao of Steve (2000)	80%
51.	129	The Contender (2000)	76%
52.	50	Keep the River on Your Right (2000)	78%
53.	125	Quills (2000)	75%
54.	95	The Virgin Suicides (2000)	76%
55.	125	Finding Forrester (2000)	74%
56.	132	Remember the Titans (2000)	73%
57.	73	Rugrats in Paris - The Movie (2000)	75%
58.	46	Tigerland (2000)	76%
59.	77	The Big Kahuna (2000)	74%
60.	82	My Dog Skip (2000)	73%
61.	53	Sunshine (2000)	74%
62.	50	Code Unknown (Code inconnu: R¨¦cit incomplet de divers voyages) (2000)	74%
63.	124	Frequency (2000)	70%
64.	161	Unbreakable (2000)	68%
65.	115	Keeping the Faith (2000)	69%
