Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
82,82,Mission: Impossible - Rogue Nation,Par.,682.3,195,487.3,2015,"July 31, 2015",Action, 2 hrs. 10 min.,PG-13,150 ,55520089,91 days / 13 weeks,Christopher McQuarrie,Rebecca FergusonRebecca FergusonTom CruiseJeremy RennerSimon PeggAlec BaldwinVing Rhames,3988,7.5
83,83,Forrest Gump,Par.,677.9,330.3,347.7,1994^,"July 6, 1994",Comedy / Drama, 2 hrs. 21 min.,PG-13,55 ,677945399,,,,,8.8
84,84,Interstellar,Par.,675.1,188,487.1,2014,"November 5, 2014",Sci-Fi Adventure, 2 hrs. 49 min.,PG-13,165 ,675120017,,,,,8.6
85,85,The Sixth Sense,BV,672.8,293.5,379.3,1999,"August 6, 1999",Horror, 1 hrs. 47 min.,PG-13,40 ,26681262,M. Night Shyamalan,Bruce WillisHaley Joel OsmentToni ColletteM. Night Shyamalan*,James Newton Howard,2821,8.1
86,86,Man of Steel,WB,668.0,291,377.0,2013,"June 14, 2013",Action / Adventure, 2 hrs. 23 min.,PG-13,225 ,116619362,98 days / 14 weeks,Zack Snyder,Henry CavillAmy AdamsMichael ShannonKevin CostnerDiane LaneLaurence FishburneAyelet ZurerRussell CroweChristopher Meloni,4207,7.2
87,87,Kung Fu Panda 2,P/DW,665.7,165.2,500.4,2011,"May 26, 2011",Animation, 1 hrs. 31 min.,PG,150 ,665692281,,,,,7.3
88,88,Ice Age: The Meltdown,Fox,660.9,195.3,465.6,2006,"March 31, 2006",Animation, 1 hrs. 30 min.,PG,80 ,68033544,161 days / 23 weeks,Carlos Saldanha,Christopher Meledandri (executive)Chris Wedge (executive),3969,6.9
89,89,Big Hero 6,BV,657.8,222.5,435.3,2014,"November 7, 2014",Animation, 1 hrs. 48 min.,PG,165 ,657818612,,,,,7.9
90,90,Pirates of the Caribbean: The Curse of the Black Pearl,BV,654.3,305.4,348.9,2003,"July 9, 2003",Period Adventure, 2 hrs. 15 min.,PG-13,140 ,46630690,184 days / 26.3 weeks,Gore Verbinski,Johnny DeppGeoffrey RushOrlando BloomKeira KnightleyJack DavenportJonathan PryceZoe Saldana*,3416,8.1
91,91,The Hunger Games: Mockingjay - Part 2,LGF,653.0,281.7,371.2,2015,"November 20, 2015",Action / Adventure, 2 hrs. 17 min.,PG-13,160 ,652955370,,,,,7.0
92,92,Star Wars: Episode II - Attack of the Clones,Fox,649.4,310.7,338.7,2002^,"May 16, 2002",Sci-Fi Fantasy, 2 hrs. 12 min.,PG,115 ,80027814,172 days / 24.6 weeks,George Lucas,Anthony DanielsChristopher LeeIan McDiarmidEwan McGregorHayden ChristensenNatalie PortmanSamuel L. Jackson*Rose Byrne*,3161,6.7
