Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
307,307,The Curious Case of Benjamin Button,Par.,333.9,127.5,206.4,2008,"December 25, 2008",Fantasy Drama, 2 hrs. 48 min.,PG-13,150 ,26853816,120 days / 17.1 weeks,David Fincher,Brad PittCate BlanchettTilda SwintonElle FanningJulia OrmondTaraji P. HensonJared Harris,2988,7.8
308,308,Indiana Jones and the Temple of Doom,Par.,333.1,179.9,153.2,1984,"May 23, 1984",Period Adventure, 1 hrs. 58 min.,PG,28 ,25337110,George Lucas,Harrison Ford,John Williams,1687,7.6
309,309,Tomorrow Never Dies,MGM,333.0,125.3,207.7,1997,"December 19, 1997",Action, 1 hrs. 59 min.,PG-13,,25143007,,,,,6.5
310,310,Back to the Future Part II,Uni.,332.0,118.5,213.5,1989,"November 22, 1989",Sci-Fi Adventure, 1 hrs. 48 min.,PG,40 ,27835125,,,,,7.8
311,311,22 Jump Street,Sony,331.3,191.7,139.6,2014,"June 13, 2014",Action Comedy, 1 hrs. 52 min.,R,50 ,57071445,157 days / 22.4 weeks,Phil LordChris Miller (II),Jonah HillChanning TatumIce CubePeter StormareNick OffermanDave Franco*Rob Riggle*,3426,7.1
312,312,Fantastic Four (2005),Fox,330.6,154.7,175.9,2005,"July 8, 2005",Action / Adventure, 2 hrs. 3 min.,PG-13,100 ,56061504,175 days / 25 weeks,Tim Story,Ioan GruffuddJessica AlbaChris EvansMichael ChiklisJulian McMahon,3619,5.7
313,313,Meet the Parents,Uni.,330.4,166.2,164.2,2000,"October 6, 2000",Comedy, 1 hrs. 48 min.,PG-13,55 ,28623300,175 days / 25 weeks,Jay Roach,Shauna Robertson* (co-producer),2697,7.0
314,314,Who Framed Roger Rabbit,BV,329.8,156.5,173.4,1988,"June 24, 1988",Fantasy Comedy, 1 hrs. 43 min.,PG,70 ,11226239,,,,,7.7
315,315,Black Swan,FoxS,329.4,107,222.4,2010,"December 3, 2010",Drama / Thriller, 1 hrs. 43 min.,R,13 ,"December 3 2010 (limited)
 December 17 2010 (wide)",,,,,8.0
316,316,The Perfect Storm,WB,328.7,182.6,146.1,2000,"June 30, 2000",Action Drama, 2 hrs. 9 min.,PG-13,140 ,41325042,,,,,6.4
317,317,Crocodile Dundee,Par.,328.2,174.8,153.4,1986,"September 26, 1986",Adventure Comedy, 1 hrs. 33 min.,PG-13,,,,,,,6.5
318,318,Seven,NL,327.3,100.1,227.2,1995,"September 22, 1995",Thriller, 2 hrs. 7 min.,R,33 ,13949807,Andrew Kevin Walker,Brad PittMorgan FreemanGwyneth PaltrowKevin Spacey,Darius KhondjiHarris Savides* (Additional photography),2528,8.6
319,319,The Devil Wears Prada,Fox,326.6,124.7,201.8,2006,"June 30, 2006",Comedy, 1 hrs. 46 min.,PG-13,35 ,27537244,168 days / 24 weeks,David Frankel,Meryl StreepAnne HathawayEmily BluntStanley TucciAdrien GrenierSimon Baker,2882,6.8
320,320,Taken 3,Fox,326.5,89.3,237.2,2015,"January 9, 2015",Action, 1 hrs. 49 min.,PG-13,48 ,39201657,126 days / 18 weeks,Olivier Megaton,Liam NeesonMaggie GraceFamke JanssenForest WhitakerDougray Scott,3594,6.0
321,321,The Hunchback of Notre Dame,BV,325.3,100.1,225.2,1996,"June 21, 1996",Animation, 1 hrs. 31 min.,G,100 ,21037414,,,,,6.9
322,322,A Christmas Carol (2009),BV,325.3,137.9,187.4,2009,"November 6, 2009",Animation, 1 hrs. 36 min.,PG,200 ,30051075,91 days / 13 weeks,Robert Zemeckis,Alan Silvestri,3683,
323,323,The SpongeBob Movie: Sponge Out of Water,Par.,323.4,163,160.4,2015,"February 6, 2015",Animation, 1 hrs. 33 min.,PG,74 ,55365012,112 days / 16 weeks,Mike MitchellPaul Tibbitt,Antonio Banderas,3680,6.0
324,324,Megamind,P/DW,321.9,148.4,173.5,2010,"November 5, 2010",Animation, 1 hrs. 36 min.,PG,130 ,46016833,112 days / 16 weeks,Tom McGrath,Lara BreayDenise Nolan CascinoBen Stiller (executive),3949,7.3
325,325,Lethal Weapon 3,WB,321.7,144.7,177.0,1992,"May 15, 1992",Action Comedy, 1 hrs. 58 min.,R,35 ,33243086,Robert Mark Kamen,Mel GibsonDanny GloverRene Russo,Michael Kamen,2568,6.7
326,326,Robin Hood,Uni.,321.7,105.3,216.4,2010,"May 14, 2010",Period Adventure, 2 hrs. 28 min.,PG-13,200 ,36063385,84 days / 12 weeks,Ridley Scott,Russell CroweCate BlanchettMax von SydowWilliam HurtMark StrongDanny HustonMark AddyMatthew MacFadyen,3505,6.7
327,327,Inglourious Basterds,Wein.,321.5,120.5,200.9,2009,"August 21, 2009",War, 2 hrs. 32 min.,R,70 ,38054676,119 days / 17 weeks,Quentin Tarantino,Brad PittMike MyersDiane KrugerChristoph WaltzMelanie LaurentTil SchweigerMichael Fassbender,3358,8.3
328,328,Schindler's List,Uni.,321.3,96.1,225.2,1993,"December 15, 1993",War Drama, 3 hrs. 14 min.,R,22 ,"December 15 1993 (limited)
 February 4 1994 (wide)",,,,,8.9
329,329,101 Dalmatians (1996),BV,320.7,136.2,184.5,1996,"November 27, 1996",Family Comedy, 1 hrs. 43 min.,G,,33504025,,,,,7.0
330,330,Fatal Attraction,Par.,320.1,156.6,163.5,1987,"September 18, 1987",Thriller, 2 hrs. 3 min.,R,,7602740,,,,,6.9
331,331,The Last Airbender,Par.,319.7,131.8,187.9,2010,"July 1, 2010",Fantasy, 1 hrs. 43 min.,PG,150 ,40325019,M. Night Shyamalan,M. Night Shyamalan,Scott Aversano (executive)Sam MercerM. Night ShyamalanFrank MarshallKathleen Kennedy (executive),3203,4.2
332,332,The Conjuring,WB (NL),318.0,137.4,180.6,2013,"July 19, 2013",Horror, 1 hrs. 52 min.,R,20 ,41855326,105 days / 15 weeks,James Wan,Vera FarmigaPatrick WilsonLili TaylorRon LivingstonJoey King,3115,7.5
333,333,The Proposal,BV,317.4,164,153.4,2009,"June 19, 2009",Romantic Comedy, 1 hrs. 48 min.,PG-13,40 ,33627598,140 days / 20 weeks,Anne Fletcher,Aaron Zigman,3158,6.7
334,334,Beverly Hills Cop,Par.,316.4,234.8,81.6,1984,"December 5, 1984",Action Comedy, 1 hrs. 45 min.,R,,15214805,,,,,7.3
335,335,Air Force One,Sony,315.2,173,142.2,1997,"July 25, 1997",Action Thriller, 2 hrs. 4 min.,R,85 ,37132505,Glenn CloseHarrison FordWilliam H. MacyGary Oldman,Marc Abraham (executive),Jerry Goldsmith,2981,6.4
336,336,Chicken Little,BV,314.4,135.4,179.0,2005,"November 4, 2005",Animation, 1 hrs. 21 min.,G,150 ,40049778,161 days / 23 weeks,Ron BencichRon J. Friedman,John Debney,3658,5.8
337,337,As Good as It Gets,Sony,314.2,148.5,165.7,1997,"December 23, 1997",Romantic Comedy, 2 hrs. 19 min.,PG,,314232594,,,,,7.7
338,338,A Beautiful Mind,Uni.,313.5,170.7,142.8,2001,"December 21, 2001",Period Drama, 2 hrs. 16 min.,PG-13,50 ,12606928,James L. Brooks,"Jack NicholsonHelen HuntGreg KinnearCuba Gooding, Jr.",Hans Zimmer,1837,8.2
339,339,The Good Dinosaur,BV,313.3,122,191.3,2015,"November 25, 2015",Animation, 1 hrs. 40 min.,PG-13,58 ,"December 21 2001 (limited)
 January 4 2002 (wide)",,,,,6.9
340,340,Maze Runner: The Scorch Trials,Fox,312.3,81.7,230.6,2015,"September 18, 2015",Action / Adventure, 2 hrs. 11 min.,PG,,313273581,,,,,6.4
341,341,Austin Powers: The Spy Who Shagged Me,NL,312.0,206,106.0,1999,"June 11, 1999",Comedy, 1 hrs. 35 min.,PG-13,61 ,30316510,126 days / 18 weeks,Wes Ball,Patricia ClarksonGiancarlo EspositoAidan GillenKi Hong LeeBarry PepperLili TaylorDylan O'BrienKaya ScodelarioThomas Brodie-Sangster,3792,6.6
342,342,Ocean's Thirteen,WB,311.3,117.2,194.2,2007,"June 8, 2007",Crime Comedy, 1 hrs. 53 min.,PG-13,33 ,54917604,,,,,6.9
343,343,Little Fockers,Uni.,310.7,148.4,162.2,2010,"December 22, 2010",Comedy, 1 hrs. 38 min.,PG-13,,36133403,105 days / 15 weeks,Steven Soderbergh,George ClooneyBrad PittMatt DamonAndy GarciaDon CheadleBernie MacCasey AffleckScott CaanCarl ReinerElliott GouldEllen BarkinAl Pacino,3565,5.5
344,344,Bolt,BV,310.0,114.1,195.9,2008,"November 21, 2008",Animation, 1 hrs. 36 min.,PG-13,100 ,30833665,86 days / 12.3 weeks,Paul Weitz,Ben StillerRobert DeNiroDustin HoffmanBarbra StreisandTeri PoloOwen WilsonJessica AlbaBlythe DannerHarvey KeitelKevin Hart*,3675,6.9
345,345,Ransom,BV,309.5,136.5,173.0,1996,"November 8, 1996",Thriller, 2 hrs. 1 min.,PG,150 ,26223128,98 days / 14 weeks,Chris Williams,John Travolta (Voice)Miley Cyrus (Voice)Susie Essman (Voice)Mark Walton (Voice)Malcolm McDowell (Voice)James Lipton (Voice)Nick Swardson (Voice)Chloe Moretz* (Voice),3654,6.6
346,346,Runaway Bride,Par.,309.5,152.3,157.2,1999,"July 30, 1999",Romantic Comedy, 1 hrs. 56 min.,R,,34216088,Richard Price,Mel GibsonRene RussoGary SiniseDelroy LindoLili TaylorLiev SchreiberDonnie Wahlberg,James Horner,2768,5.4
347,347,The Blind Side,WB,309.2,256,53.2,2009,"November 20, 2009",Sports Drama, 2 hrs. 6 min.,PG,70 ,35055556,Richard GereJulia Roberts,Ted FieldMario Iscovich (Co-producer)Scott KroopfGary Lucchesi (executive)Tom Rosenberg,James Newton Howard,3240,7.7
348,348,The Polar Express,WB,307.5,183.4,124.1,2004^,"November 10, 2004",Animation, 1 hrs. 40 min.,PG-13,29 ,34119372,196 days / 28 weeks,John Lee Hancock,Sandra BullockKathy BatesLily Collins,3407,6.6
349,349,The Fault in our Stars,Fox,307.2,124.9,182.3,2014,"June 6, 2014",Drama, 2 hrs. 5 min.,G,165 ,23323463,121 days / 17.3 weeks,Robert Zemeckis,Gary GoetzmanTom Hanks (executive),3650,7.9
350,350,The Pursuit of Happyness,Sony,307.1,163.6,143.5,2006,"December 15, 2006",Drama, 1 hrs. 56 min.,PG-13,12 ,48002523,126 days / 18 weeks,Josh Boone,Shailene WoodleyAnsel ElgortLaura DernNat WolffWillem Dafoe,3340,7.9
351,351,Rise of the Guardians,P/DW,306.9,103.4,203.5,2012,"November 21, 2012",Animation, 1 hrs. 37 min.,PG-13,55 ,26541709,94 days / 13.4 weeks,Gabriele Muccino,Will SmithThandie NewtonJaden Smith,3169,7.3
352,352,Chicago,Mira.,306.8,170.7,136.1,2002,"December 27, 2002",Musical, 1 hrs. 47 min.,PG,145 ,23773465,142 days / 20.3 weeks,Peter Ramsey,Chris Pine (Voice)Alec Baldwin (Voice)Hugh Jackman (Voice)Isla Fisher (Voice)Jude Law (Voice),3672,7.2
353,353,The Expendables 2,LGF,305.4,85,220.4,2012,"January 29, 2016",Animation, 1 hrs. 35 min.,PG-13,45 ,306776732,,,,,6.7
354,354,Wrath of the Titans,WB,305.3,83.7,221.6,2012,"August 17, 2012",Action, 1 hrs. 42 min.,R,100 ,28591370,98 days / 14 weeks,Simon West,Sylvester StalloneJason StathamJet LiDolph LundgrenChuck NorrisJean-Claude Van DammeBruce WillisArnold SchwarzeneggerTerry CrewsRandy CoutureLiam Hemsworth,3355,5.8
355,355,A Good Day to Die Hard,Fox,304.7,67.3,237.3,2013,"March 30, 2012",Fantasy, 1 hrs. 39 min.,PG-13,150 ,33457188,91 days / 13 weeks,Jonathan Liebesman,Sam WorthingtonRosamund PikeBill NighyEdgar RamirezToby KebbellRalph FiennesLiam NeesonDanny Huston*,3545,5.3
356,356,Mulan,BV,304.3,120.6,183.7,1998,"February 14, 2013",Action, 1 hrs. 37 min.,R,92 ,24834845,99 days / 14.1 weeks,John Moore,Aldis HodgeBruce WillisJai CourtneySebastian KochCole Hauser*Mary Elizabeth Winstead*,3555,7.5
357,357,Close Encounters of the Third Kind,Col.,303.8,132.1,171.7,1977^,"June 19, 1998",Animation, 1 hrs. 28 min.,G,,22745143,,,,,7.7
358,358,Battleship,Uni.,303.0,65.4,237.6,2012,"November 16, 1977",Sci-Fi, 2 hrs. 17 min.,PG,20 ,,,,,,5.9
359,359,Liar Liar,Uni.,302.7,181.4,121.3,1997,"May 18, 2012",Action, 2 hrs. 11 min.,PG-13,209 ,25534825,Peter Berg,Erich HoeberJon Hoeber,Peter BergScott Stuber,3702,6.8
360,360,G.I. Joe: The Rise of Cobra,Par.,302.5,150.2,152.3,2009,"March 21, 1997",Fantasy Comedy, 1 hrs. 26 min.,PG-13,,31423025,210 days / 30 weeks,Tom Shadyac,Michael Bostick (executive)Brian Grazer,2909,5.8
361,361,Hook,TriS,300.9,119.7,181.2,1991,"August 7, 2009",Action, 1 hrs. 58 min.,PG-13,175 ,54713046,91 days / 13 weeks,Stephen Sommers,Channing TatumMarlon WayansRachel NicholsSienna MillerDennis QuaidJoseph Gordon-LevittBrendan Fraser* (Cameo),4007,6.7
362,362,Rocky IV,UA,300.5,127.9,172.6,1985,"December 11, 1991",Fantasy, 2 hrs. 22 min.,PG,70 ,13522535,,,,,6.7
363,363,Rambo: First Blood Part II,TriS,300.4,150.4,150.0,1985,"November 27, 1985",Sports Drama, 1 hrs. 31 min.,PG,,19991537,,,,,6.4
364,364,Van Helsing,Uni.,300.3,120.2,180.1,2004,"May 22, 1985",Action, 1 hrs. 34 min.,R,,20176217,,,,,6.0
365,365,Superman,WB,300.2,134.2,166.0,1978,"May 7, 2004",Period Horror, 2 hrs. 10 min.,PG-13,160 ,51748040,112 days / 16 weeks,Stephen Sommers,Hugh JackmanKate Beckinsale,3580,7.3
366,366,Stuart Little,Sony,300.1,140,160.1,1999,"December 15, 1978",Action / Adventure, 2 hrs. 23 min.,PG,55 ,"December 15 1978 (limited)
 N/A (wide)",,,,,5.9
367,367,Beverly Hills Cop II,Par.,300.0,153.7,146.3,1987,"December 17, 1999",Family Adventure, 1 hrs. 24 min.,PG,133 ,15018223,M. Night Shyamalan,Michael J. Fox (Voice)Geena DavisHugh LaurieNathan Lane (Voice)Chazz Palminteri (Voice)Steve Zahn (Voice),Alan Silvestri,3151,6.4
368,368,Kung Fu Panda 3,Fox,299.6,121.4,178.2,2016,"May 20, 1987",Action Comedy, 1 hrs. 43 min.,R,,26348555,,,,,7.8
369,369,My Best Friend's Wedding,Sony,299.3,127.1,172.2,1997,"June 20, 1997",Romantic Comedy, 1 hrs. 45 min.,PG-13,38 ,21678377,,,,,6.3
370,370,Real Steel,BV,299.3,85.5,213.8,2011,"October 7, 2011",Action Drama, 2 hrs. 7 min.,PG-13,,27319677,133 days / 19 weeks,Shawn Levy,Hugh JackmanEvangeline LillyDakota GoyoAnthony MackieKevin Durand,3440,7.1
371,371,The Divergent Series: Insurgent,LG/S,297.3,130.2,167.1,2015,"March 20, 2015",Action / Adventure, 1 hrs. 59 min.,PG-13,110 ,52263680,112 days / 16 weeks,Robert Schwentke,Shailene WoodleyTheo JamesKate WinsletOctavia SpencerJai CourtneyRay StevensonMiles TellerAnsel ElgortMaggie QMekhi PhiferNaomi Watts,3875,6.3
372,372,Dr. Seuss' Horton Hears a Who!,Fox,297.1,154.5,142.6,2008,"March 14, 2008",Animation, 1 hrs. 28 min.,G,85 ,297138014,,,,,6.9
373,373,Look Who's Talking,TriS,297.0,140.1,156.9,1989,"October 13, 1989",Family Comedy, 1 hrs. 33 min.,PG-13,,12107784,,,,,5.8
374,374,Austin Powers in Goldmember,NL,296.7,213.3,83.3,2002,"July 26, 2002",Comedy, 1 hrs. 34 min.,PG-13,63 ,73071188,,,,,6.2
375,375,X-Men,Fox,296.3,157.3,139.0,2000,"July 14, 2000",Action / Adventure, 1 hrs. 44 min.,PG-13,75 ,54471475,David Hayter,Hugh JackmanPatrick StewartIan McKellenFamke JanssenJames MarsdenHalle BerryAnna PaquinRebecca Romijn,Newton Thomas Sigel,3112,7.4
376,376,Resident Evil: Afterlife,SGem,296.2,60.1,236.1,2010,"September 10, 2010",Action Horror, 1 hrs. 40 min.,R,60 ,26650264,56 days / 8 weeks,Paul W.S. Anderson,Milla JovovichAli LarterWentworth MillerSienna GuilloryBoris Kodjoe,3209,6.3
377,377,Ghostbusters,Col.,295.2,242.2,53.0,1984^,"June 8, 1984",Horror Comedy, 1 hrs. 47 min.,PG,30 ,13578151,Harold Ramis,Bill MurraySigourney Weaver,Elmer Bernstein,1506,7.8
378,378,Shutter Island,Par.,294.8,128,166.8,2010,"February 19, 2010",Period Drama, 2 hrs. 18 min.,R,80 ,41062440,112 days / 16 weeks,Martin Scorsese,Leonardo DiCaprioMark RuffaloBen KingsleyMax von SydowMichelle WilliamsPatricia ClarksonEmily MortimerJackie Earle HaleyElias Koteas,3356,8.1
379,379,Doctor Dolittle,Fox,294.5,144.2,150.3,1998,"June 26, 1998",Family Comedy, 1 hrs. 25 min.,PG-13,,29014324,,,,,5.3
380,380,Salt,Sony,293.5,118.3,175.2,2010,"July 23, 2010",Action Thriller, 1 hrs. 39 min.,PG-13,110 ,36011243,98 days / 14 weeks,Phillip Noyce,Angelina JolieLiev SchreiberChiwetel Ejiofor,3612,6.4
381,381,G-Force,BV,292.8,119.4,173.4,2009,"July 24, 2009",Family Adventure, 1 hrs. 30 min.,PG,150 ,31706934,133 days / 19 weeks,Bill NighySam Rockwell* (Voice)Will ArnettJon Favreau* (Voice)Zach GalifianakisNicolas Cage* (Voice)Penelope Cruz* (Voice)Steve Buscemi* (Voice)Tracy Morgan* (Voice),Trevor Rabin,3697,5.1
382,382,What Lies Beneath,DW,291.4,155.5,136.0,2000,"July 21, 2000",Horror, 2 hrs. 10 min.,PG-13,100 ,29702959,196 days / 28 weeks,Robert Zemeckis,Harrison FordMichelle Pfeiffer,2925,6.6
383,383,The Departed,WB,289.8,132.4,157.5,2006,"October 6, 2006",Crime Drama, 2 hrs. 30 min.,R,90 ,289847354,,,,,8.5
384,384,Shakespeare in Love,Mira.,289.3,100.3,189.0,1998,"December 11, 1998",Period Comedy, 2 hrs. 3 min.,R,25 ,289317794,,,,,7.2
385,385,Fantastic Four: Rise of the Silver Surfer,Fox,289.0,131.9,157.1,2007,"June 15, 2007",Action / Adventure, 1 hrs. 29 min.,PG,130 ,58051684,126 days / 18 weeks,Tim Story,Ioan GruffuddJessica AlbaChris EvansMichael ChiklisJulian McMahonKerry WashingtonAndre BraugherLaurence Fishburne* (Voice),3963,5.6
386,386,Divergent,LG/S,288.9,150.9,137.9,2014,"March 21, 2014",Action / Adventure, 2 hrs. 23 min.,PG-13,85 ,54607747,112 days / 16 weeks,Neil Burger,Shailene WoodleyTheo JamesJai CourtneyRay StevensonMiles TellerMaggie QKate WinsletTony GoldwynAshley JuddAnsel Elgort,3936,6.8
387,387,Coming to America,Par.,288.8,128.2,160.6,1988,"June 29, 1988",Romantic Comedy, 1 hrs. 56 min.,R,,21404420,,,,,6.9
388,388,The Bourne Supremacy,Uni.,288.5,176.2,112.3,2004,"July 23, 2004",Action Thriller, 1 hrs. 48 min.,PG-13,75 ,52521865,Paul Greengrass,Tony Gilroy,Patrick CrowleyDoug Liman (executive)Frank Marshall,3304,7.8
389,389,Bridesmaids,Uni.,288.4,169.1,119.3,2011,"May 13, 2011",Comedy, 2 hrs. 5 min.,R,32.5 ,26247410,140 days / 20 weeks,Paul Feig,Kristen WiigMaya RudolphRose ByrneMelissa McCarthyEllie KemperWendi McLendon-CoveyJon HammRebel Wilson*,2958,6.8
390,390,Sex and the City 2,WB (NL),288.3,95.3,193.0,2010,"May 27, 2010",Romantic Comedy, 2 hrs. 27 min.,R,100 ,31001870,85 days / 12.1 weeks,Michael Patrick King,Sarah Jessica ParkerKim CattrallKristin DavisCynthia NixonAlice EvePenelope CruzJohn CorbettChris Noth,3445,4.3
391,391,Casper,Uni.,287.9,100.3,187.6,1995,"May 26, 1995",Family Comedy, 1 hrs. 41 min.,PG,,16840385,,,,,6.0
392,392,Bee Movie,P/DW,287.6,126.6,161.0,2007,"November 2, 2007",Animation, 1 hrs. 30 min.,PG,150 ,38021044,,,,,6.2
393,393,American Pie 2,Uni.,287.6,145.1,142.5,2001,"August 10, 2001",Comedy, 1 hrs. 44 min.,R,30 ,45117985,133 days / 19 weeks,David H. Steinberg (story),Chris Bender* (co-producer)Chris MooreChris Weitz (executive producer)Paul Weitz (executive producer),3157,6.4
394,394,Pitch Perfect 2,Uni.,287.5,184.3,103.2,2015,"May 15, 2015",Comedy, 1 hrs. 55 min.,PG-13,29 ,69216890,Elizabeth Banks,Kay Cannon,Elizabeth BanksMax HandelmanJason Moore (executive),3660,6.5
395,395,The Green Mile,WB,286.8,136.8,150.0,1999,"December 10, 1999",Period Drama, 3 hrs. 8 min.,R,60 ,18017152,Frank Darabont,Tom HanksMichael Clarke DuncanDavid MorseBonnie HuntJames CromwellSam RockwellBarry PepperPatricia ClarksonHarry Dean Stanton,Thomas Newman,2875,8.5
396,396,Oblivion,Uni.,286.2,89.1,197.1,2013,"April 19, 2013",Sci-Fi Adventure, 2 hrs. 5 min.,PG-13,120 ,37054485,70 days / 10 weeks,Joseph Kosinski,Tom CruiseMorgan FreemanOlga KurylenkoNikolaj Coster-WaldauMelissa LeoAndrea Riseborough,3792,7.0
397,397,Elysium,TriS,286.1,93.1,193.1,2013,"August 9, 2013",Sci-Fi, 1 hrs. 49 min.,R,115 ,29807393,108 days / 15.4 weeks,Neill Blomkamp,Matt DamonJodie FosterSharlto CopleyWilliam FichtnerAlice BragaDiego Luna,3284,6.6
398,398,Lethal Weapon 4,WB,285.4,130.4,155.0,1998,"July 10, 1998",Action Comedy, 2 hrs. 7 min.,R,140 ,34048124,Alfred Gough & Miles Millar* (Story),Mel GibsonDanny GloverRene RussoChris RockJet Li,Andrzej Bartkowiak,3117,6.6
399,399,Wedding Crashers,NL,285.2,209.3,75.9,2005,"July 15, 2005",Comedy, 1 hrs. 53 min.,R,40 ,33900720,163 days / 23.3 weeks,David Dobkin,Andrew Panay,3131,7.0
400,400,John Carter,BV,284.1,73.1,211.1,2012,"March 9, 2012",Sci-Fi Adventure, 2 hrs. 12 min.,PG-13,250 ,30180188,112 days / 16 weeks,Andrew Stanton,James PurefoyTaylor KitschLynn CollinsSamantha Morton (Voice)Willem Dafoe (Voice)Thomas Haden Church (Voice)Mark StrongCiaran HindsDominic WestBryan Cranston*Daryl Sabara*,3749,6.6
401,401,Turbo,Fox,282.6,83,199.5,2013,"July 17, 2013",Animation, 1 hrs. 36 min.,PG,135 ,21312625,149 days / 21.3 weeks,David Soren,Ryan Reynolds (Voice)Paul Giamatti (Voice)Michael Pena (Voice)Samuel L. Jackson (Voice)Luis Guzman (Voice)Maya Rudolph (Voice)Michelle Rodriguez (Voice)Snoop Dogg (Voice)Bill Hader* (Voice)Ken Jeong* (Voice)Richard Jenkins* (Voice),3809,6.5
402,402,Bridget Jones's Diary,Mira.,281.9,71.5,210.4,2001,"April 13, 2001",Romantic Comedy, 1 hrs. 37 min.,R,25 ,10733933,Andrew Davies,Renee ZellwegerHugh GrantJim BroadbentColin Firth,Stuart Dryburgh (director of photography),2547,6.7
403,403,The Tourist,Sony,278.3,67.6,210.7,2010,"December 10, 2010",Romantic Thriller, 1 hrs. 43 min.,PG-13,100 ,16472458,Florian Henckel von Donnersmarck,Christopher McQuarrieFlorian Henckel von Donnersmarck,Gary BarberRoger BirnbaumJonathan GlickmanTim HeadingtonGraham King,2756,6.0
404,404,Scary Movie,Mira.,278.0,157,121.0,2000,"July 7, 2000",Horror Comedy, 1 hrs. 28 min.,R,19 ,42346669,Jason FriedbergAaron Seltzer,Shawn WayansMarlon WayansAnna FarisRegina HallKeenen Ivory Wayans*,David Kitay,3301,7.2
405,405,XXX,SonR,277.4,142.1,135.3,2002,"August 9, 2002",Action, 1 hrs. 53 min.,PG-13,70 ,44506103,150 days / 21.4 weeks,Rob Cohen,Vin Diesel (executive)Todd Garner (executive)Neal H. MoritzGeorge Zakk (executive),3536,5.8
406,406,The Bourne Legacy,Uni.,276.1,113.2,162.9,2012,"August 10, 2012",Action, 2 hrs. 15 min.,PG-13,125 ,38142825,91 days / 13 weeks,Tony Gilroy,Jeremy RennerRachel WeiszEdward NortonOscar IsaacJoan Allen*David Strathairn*Albert Finney*Scott Glenn*,3753,6.7
407,407,Mr. Peabody & Sherman,Fox,275.7,111.5,164.2,2014,"March 7, 2014",Animation, 1 hrs. 30 min.,PG,145 ,275698039,,,,,6.9
408,408,Scooby-Doo,WB,275.7,153.3,122.4,2002,"June 14, 2002",Family Adventure, 1 hrs. 26 min.,PG,84 ,54155312,140 days / 20 weeks,Raja Gosnell,Sarah Michelle GellarFreddie Prinze Jr.Matthew LillardLinda CardelliniRowan AtkinsonIsla Fisher,3447,4.9
409,409,Lincoln,BV,275.3,182.2,93.1,2012,"November 9, 2012",Historical Drama, 2 hrs. 25 min.,PG-13,65 ,"November 9 2012 (limited)
 November 16 2012 (wide)",,,,,7.4
410,410,Spirited Away,BV,274.9,10.1,264.9,2002,"September 20, 2002",Animation, 2 hrs. 4 min.,PG,,274925095,,,,,8.6
411,411,Lara Croft: Tomb Raider,Par.,274.7,131.2,143.5,2001,"June 15, 2001",Action / Adventure, 1 hrs. 40 min.,PG-13,115 ,47735743,,,,,5.7
412,412,The Expendables,LGF,274.5,103.1,171.4,2010,"August 13, 2010",Action, 1 hrs. 43 min.,R,80 ,34825135,70 days / 10 weeks,Sylvester Stallone,"Sylvester StalloneJason StathamJet LiDolph LundgrenEric RobertsRandy Couture""""Stone Cold"""" Steve AustinTerry CrewsMickey RourkeDavid ZayasBruce Willis*Arnold Schwarzenegger*",3398,6.5
413,413,Cloudy with a Chance of Meatballs 2,Sony,274.3,119.8,154.5,2013,"September 27, 2013",Animation, 1 hrs. 35 min.,PG,78 ,34017930,171 days / 24.4 weeks,John Francis DaleyJonathan M. GoldsteinErica Rivinoja,Mark Mothersbaugh,4001,6.5
414,414,The Nutty Professor (1996),Uni.,274.0,128.8,145.1,1996,"June 28, 1996",Comedy, 1 hrs. 43 min.,PG-13,54 ,25411725,,,,,5.6
415,415,Jerry Maguire,Sony,273.6,154,119.6,1996,"December 13, 1996",Comedy / Drama, 2 hrs. 18 min.,R,50 ,17084296,,,,,7.3
416,416,Bad Boys II,Sony,273.3,138.6,134.7,2003,"July 18, 2003",Action Comedy, 2 hrs. 27 min.,R,130 ,46522560,126 days / 18 weeks,Michael Bay,Jerry Bruckheimer,3202,6.6
417,417,Lilo & Stitch,BV,273.1,145.8,127.3,2002,"June 21, 2002",Animation, 1 hrs. 25 min.,PG,80 ,35260212,,,,,7.2
418,418,The Silence of the Lambs,Orion,272.7,130.7,142.0,1991,"February 14, 1991",Thriller, 1 hrs. 58 min.,R,19 ,272742922,,,,,8.6
419,419,Grown Ups,Sony,271.4,162,109.4,2010,"June 25, 2010",Comedy, 1 hrs. 42 min.,PG-13,80 ,40506562,126 days / 18 weeks,Dennis Dugan,Adam SandlerKevin JamesChris RockRob SchneiderDavid SpadeSalma HayekMaria BelloMaya RudolphSteve BuscemiNorm MacDonaldJamie Chung*,3534,6.0
420,420,Neighbors,Uni.,270.7,150.2,120.5,2014,"May 9, 2014",Comedy, 1 hrs. 36 min.,R,18 ,49033915,Nick Stoller,Andrew J. CohenBrendan O'Brien,Andrew J. Cohen (executive)Evan GoldbergBrendan O'Brien (executive)Seth RogenJames Weaver,3311,6.4
421,421,The Firm,Par.,270.2,158.3,111.9,1993,"July 2, 1993",Thriller, 2 hrs. 34 min.,R,,25400000,,,,,6.8
