Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	star1	star2	director1	dir_win	dir_nomi	st1_won	st1_nomi	st2_won	st2_nomi
118	118	Fifty Shades of Grey	Uni.	571	166.2	0.291	404.8	0.709	2015	4.1	Dakota Johnson	Jamie Dornan	Sam Taylor-Johnson	5	11	7	8	6	3
119	119	The Smurfs	Sony	563.7	142.6	0.253	421.1	0.747	2011	5.5	Hank Azaria	Neil Patrick Harris	Raja Gosnell	 	 	15	25	21	50
120	120	"Monsters, Inc."	BV	562.8	289.9	0.515	272.9	0.485	2001^	8.1	John Goodman	Billy Crystal	Pete Docter	41	56	20	62	30	47
121	121	Cars 2	BV	559.9	191.5	0.342	368.4	0.658	2011	6.3	Larry the Cable Guy	Owen Wilson	John Lasseter	36	26	1	7	14	45
122	122	Puss in Boots	P/DW	555	149.3	0.269	405.7	0.731	2011	6.7	Antonio Banderas	Salma Hayek	Chris Miller	12	12	33	39	12	38
123	123	Armageddon	BV	553.7	201.6	0.364	352.1	0.636	1998	6.6	Bruce Willis	Billy Bob Thornton	Michael Bay	7	10	21	37	30	49
124	124	King Kong	Uni.	550.5	218.1	0.396	332.4	0.604	2005	7.2	Naomi Watts	Jack Black	Peter Jackson	129	120	52	81	8	43
125	125	Ted	Uni.	549.4	218.8	0.398	330.6	0.602	2012	7	Mark Wahlberg	Mila Kunis	Seth MacFarlane	15	46	20	60	12	49
126	126	American Sniper	WB	547.4	350.1	0.64	197.3	0.36	2014	7.3	Bradley Cooper	Kyle Gallner	Clint Eastwood	143	148	29	65	2	2
127	127	Mission: Impossible II	Par.	546.4	215.4	0.394	331	0.606	2000	6.1	Tom Cruise	Dougray Scott	John Woo	18	15	39	76	1	8
128	128	Sherlock Holmes: A Game of Shadows	WB	545.4	186.8	0.343	358.6	0.657	2011	7.5	Robert Downey Jr.	Jude Law	Guy Ritchie	8	9	33	91	16	50
129	129	The Day After Tomorrow	Fox	544.3	186.7	0.343	357.5	0.657	2004	6.4	Dennis Quaid	Jake Gyllenhaal	Roland Emmerich	13	14	12	26	34	82
130	130	Despicable Me	Uni.	543.1	251.5	0.463	291.6	0.537	2010	7.7	Steve Carell	Jason Segel	Pierre Coffin	0	18	32	115	7	27
131	131	Cinderella (2015)	BV	542.7	201.2	0.371	341.5	0.629	2015	7	Cate Blanchett	Lily James	Kenneth Branagh	29	60	144	177	3	2
132	132	World War Z	Par.	540	202.4	0.375	337.6	0.625	2013	7	Brad Pitt	Mireille Enos	Marc Forster	6	13	64	136	0	7
133	133	Brave	BV	539	237.3	0.44	301.7	0.56	2012	7.2	Kelly Macdonald	Billy Connolly	Mark Andrews	5	8	16	33	2	9
134	134	The Empire Strikes Back	Fox	538.4	290.5	0.54	247.9	0.46	1980^	8.8	Mark Hamill	Harrison Ford	Irvin Kershner	5	2	11	13	32	36
135	135	Madagascar	DW	532.7	193.6	0.363	339.1	0.637	2005	6.9	Ben Stiller	Chris Rock	Eric Darnell	0	2	13	52	18	60
136	136	Deadpool	Fox	529.6	263.1	0.497	266.5	0.503	2016	8.5	Ryan Reynolds	Karan Soni	Tim Miller	 	 	8	32	0	1
137	137	Godzilla (2014)	WB	529.1	200.7	0.379	328.4	0.621	2014	6	Takehiro Murata	Hiroshi Abe	Takao Okawara	0	1	4	1	4	2
138	138	The Simpsons Movie	Fox	527.1	183.1	0.347	343.9	0.653	2007	7.4	Dan Castellaneta	Julie Kavner	David Silverman	6	15	8	18	5	25
139	139	Sherlock Holmes	WB	524	209	0.399	315	0.601	2009	7.6	Robert Downey Jr.	Jude Law	Guy Ritchie	8	9	33	91	16	50
140	140	WALL-E	BV	521.3	223.8	0.429	297.5	0.571	2008	8.4	Ben Burtt	Elissa Knight	Andrew Stanton	32	50	16	37	 	 
141	141	Terminator 2: Judgment Day	TriS	519.8	204.8	0.394	315	0.606	1991	8.5	Arnold Schwarzenegger	Linda Hamilton	James Cameron	65	54	23	31	9	7
142	142	Ant-Man	BV	519.3	180.2	0.347	339	0.653	2015	7.4	Paul Rudd	Michael Douglas	Peyton Reed	2	3	7	19	58	36
143	143	Meet the Fockers	Uni.	516.6	279.3	0.541	237.4	0.459	2004	6.3	Robert De Niro	Ben Stiller	Jay Roach	9	5	48	82	13	52
144	144	Ghost	Par.	505.7	217.6	0.43	288.1	0.57	1990	7	Patrick Swayze	Demi Moore	Jerry Zucker	6	6	5	7	12	28
145	145	Aladdin	BV	504.1	217.4	0.431	286.7	0.569	1992	8	Scott Weinger	Robin Williams	Ron Clements	7	8	1	2	63	80
146	146	Rio 2	Fox	500.1	131.5	0.263	368.6	0.737	2014	6.4	Jake T. Austin	Carlinhos Brown	Carlos Saldanha	2	12	1	15	2	6
147	147	Troy	WB	497.4	133.4	0.268	364	0.732	2004	7.2	Julian Glover	Brian Cox	Wolfgang Petersen	10	8	1	3	9	22
148	148	How to Train Your Dragon	P/DW	494.9	217.6	0.44	277.3	0.56	2010	8.2	Jay Baruchel	Gerard Butler	Dean DeBlois	7	22	5	10	2	12
149	149	Twister	WB	494.5	241.7	0.489	252.8	0.511	1996	6.3	Helen Hunt	Bill Paxton	Jan de Bont	0	7	47	65	6	22
150	150	Teenage Mutant Ninja Turtles (2014)	Par.	493.3	191.2	0.388	302.1	0.612	2014	6.3	Chris Evans	Sarah Michelle Gellar	Kevin Munroe	0	1	4	26	17	29
151	151	Oz The Great and Powerful	BV	493.3	234.9	0.476	258.4	0.524	2013	6.4	James Franco	Mila Kunis	Sam Raimi	10	16	31	90	12	49
152	152	Clash of the Titans (2010)	WB	493.2	163.2	0.331	330	0.669	2010	5.8	Sam Worthington	Liam Neeson	Jonathan Liebesman	2	2	6	14	15	35
153	153	Angels & Demons	Sony	485.9	133.4	0.274	352.6	0.726	2009	6.7	Tom Hanks	Ewan McGregor	Ron Howard	38	65	76	115	24	38
154	154	Toy Story 2	BV	485	245.9	0.507	239.2	0.493	1999^	7.9	Tom Hanks	Tim Allen	John Lasseter	36	26	76	115	23	32
155	155	Rio	Fox	484.6	143.6	0.296	341	0.704	2011	7	Karen Disher	Jason Fricchione	Carlos Saldanha	2	12	 	 	 	 
156	156	Bruce Almighty	Uni.	484.6	242.8	0.501	241.8	0.499	2003	6.7	Jim Carrey	Morgan Freeman	Tom Shadyac	1	0	45	88	56	69
157	157	Shrek	DW	484.4	267.7	0.553	216.7	0.447	2001	7.9	Mike Myers	Eddie Murphy	Andrew Adamson	7	19	28	38	30	67
158	158	Saving Private Ryan	DW	481.8	216.5	0.449	265.3	0.551	1998	8.6	Tom Hanks	Tom Sizemore	Steven Spielberg	175	168	76	115	5	7
159	159	Rise of the Planet of the Apes	Fox	481.8	176.8	0.367	305	0.633	2011	7.6	Andy Serkis	Karin Konoval	Rupert Wyatt	1	7	30	42	 	 
160	160	Mr. & Mrs. Smith	Fox	478.2	186.3	0.39	291.9	0.61	2005	6.5	Brad Pitt	Angelina Jolie	Doug Liman	2	6	64	136	47	93
161	161	Home Alone	Fox	476.7	285.8	0.599	190.9	0.401	1990	7.5	Macaulay Culkin	Joe Pesci	Chris Columbus	6	18	4	7	13	11
162	162	Return of the Jedi	Fox	475.1	309.3	0.651	165.8	0.349	1983^	8.4	Mark Hamill	Harrison Ford	Richard Marquand	2	3	11	13	32	36
163	163	Charlie and the Chocolate Factory	WB	475	206.5	0.435	268.5	0.565	2005	6.7	Johnny Depp	Freddie Highmore	Tim Burton	20	58	65	115	12	22
